all_time: 1337.4999737739563, write_cfg_time: 0.014952421188354492, compile_time: 1110.9190435409546, exec_time: 3.7145269999999986
all_time: 1365.1251051425934, write_cfg_time: 0.015165328979492188, compile_time: 1132.0755248069763, exec_time: 3.960982999999999
all_time: 1392.4549589157104, write_cfg_time: 0.015506267547607422, compile_time: 1152.4780642986298, exec_time: 4.447063999999999
all_time: 1417.9541499614716, write_cfg_time: 0.015718698501586914, compile_time: 1173.401184797287, exec_time: 4.460996999999999
all_time: 1439.6545164585114, write_cfg_time: 0.01592254638671875, compile_time: 1193.3532552719116, exec_time: 4.464104999999999
all_time: 1464.196583032608, write_cfg_time: 0.016191959381103516, compile_time: 1213.1375179290771, exec_time: 4.544407999999999
all_time: 1490.7366003990173, write_cfg_time: 0.016529083251953125, compile_time: 1233.5497677326202, exec_time: 4.844309999999999
all_time: 1512.2277672290802, write_cfg_time: 0.016747236251831055, compile_time: 1253.089055299759, exec_time: 4.847477999999999
all_time: 1533.6715807914734, write_cfg_time: 0.016965150833129883, compile_time: 1272.5100769996643, exec_time: 4.850674999999999
all_time: 1555.7564027309418, write_cfg_time: 0.0173184871673584, compile_time: 1293.1677811145782, exec_time: 4.853854999999999
all_time: 1582.5861284732819, write_cfg_time: 0.01766180992126465, compile_time: 1314.4400441646576, exec_time: 4.857486
all_time: 1608.8404350280762, write_cfg_time: 0.018019914627075195, compile_time: 1334.5219514369965, exec_time: 4.8627709999999995
all_time: 1632.789211511612, write_cfg_time: 0.018339157104492188, compile_time: 1353.9136941432953, exec_time: 5.035487999999999
all_time: 1657.1126749515533, write_cfg_time: 0.018577098846435547, compile_time: 1374.4514513015747, exec_time: 5.048096999999999
all_time: 1678.9921705722809, write_cfg_time: 0.018920421600341797, compile_time: 1393.535556793213, exec_time: 5.051316999999999
all_time: 1712.3118362426758, write_cfg_time: 0.01914048194885254, compile_time: 1413.7780435085297, exec_time: 5.096930999999999
all_time: 1737.7689740657806, write_cfg_time: 0.019387006759643555, compile_time: 1433.8968334197998, exec_time: 5.100180999999999
all_time: 1763.1012663841248, write_cfg_time: 0.01965045928955078, compile_time: 1455.493844985962, exec_time: 5.183675999999999
all_time: 1786.8209331035614, write_cfg_time: 0.019864559173583984, compile_time: 1474.9396529197693, exec_time: 5.186998999999999
all_time: 1811.7832221984863, write_cfg_time: 0.02008199691772461, compile_time: 1495.6992857456207, exec_time: 5.190211999999999
all_time: 1837.7348301410675, write_cfg_time: 0.020447254180908203, compile_time: 1516.174726486206, exec_time: 5.401068999999999
all_time: 1864.1515927314758, write_cfg_time: 0.02079606056213379, compile_time: 1537.1423885822296, exec_time: 5.503142999999999
all_time: 1892.2495782375336, write_cfg_time: 0.02106022834777832, compile_time: 1558.2691311836243, exec_time: 5.767612999999999
all_time: 1915.501045703888, write_cfg_time: 0.0214083194732666, compile_time: 1578.37180519104, exec_time: 5.770825999999999
all_time: 1936.712982416153, write_cfg_time: 0.021635770797729492, compile_time: 1597.8891894817352, exec_time: 5.773959999999999
all_time: 1960.0342655181885, write_cfg_time: 0.021975994110107422, compile_time: 1617.8006162643433, exec_time: 5.777280999999999
all_time: 1983.1271617412567, write_cfg_time: 0.022207260131835938, compile_time: 1638.447583436966, exec_time: 5.781005999999999
all_time: 2008.4734745025635, write_cfg_time: 0.022514820098876953, compile_time: 1658.093197107315, exec_time: 6.090495999999999
all_time: 2031.6492924690247, write_cfg_time: 0.02272176742553711, compile_time: 1678.962943315506, exec_time: 6.093688999999999
all_time: 2057.1835663318634, write_cfg_time: 0.02309107780456543, compile_time: 1700.5393981933594, exec_time: 6.0969479999999985
all_time: 2080.2100009918213, write_cfg_time: 0.023334264755249023, compile_time: 1721.3261985778809, exec_time: 6.100148999999998
all_time: 2106.003697156906, write_cfg_time: 0.023662328720092773, compile_time: 1740.7833869457245, exec_time: 6.103578999999998
all_time: 2127.5575711727142, write_cfg_time: 0.023939132690429688, compile_time: 1761.1829319000244, exec_time: 6.109330999999998
all_time: 2150.0785393714905, write_cfg_time: 0.02417135238647461, compile_time: 1781.4919574260712, exec_time: 6.321185999999998
all_time: 2176.141170501709, write_cfg_time: 0.024381399154663086, compile_time: 1801.3331234455109, exec_time: 6.517814999999998
all_time: 2202.0003006458282, write_cfg_time: 0.0246124267578125, compile_time: 1820.1931569576263, exec_time: 6.575682999999998
all_time: 2227.3424756526947, write_cfg_time: 0.0248563289642334, compile_time: 1840.4835906028748, exec_time: 6.854375999999998
all_time: 2247.3374807834625, write_cfg_time: 0.02518939971923828, compile_time: 1859.5743103027344, exec_time: 6.857562999999997
all_time: 2275.1809606552124, write_cfg_time: 0.02539801597595215, compile_time: 1880.564123392105, exec_time: 7.253619999999997
all_time: 2299.5407061576843, write_cfg_time: 0.02570629119873047, compile_time: 1900.7139828205109, exec_time: 7.256762999999997
all_time: 2324.657509326935, write_cfg_time: 0.025930404663085938, compile_time: 1920.1457877159119, exec_time: 7.704887999999997
all_time: 2348.249149799347, write_cfg_time: 0.026156902313232422, compile_time: 1940.0832262039185, exec_time: 7.7081069999999965
all_time: 2369.5413212776184, write_cfg_time: 0.026464223861694336, compile_time: 1959.2893204689026, exec_time: 7.714377999999996
all_time: 2395.696806192398, write_cfg_time: 0.02681899070739746, compile_time: 1979.2112572193146, exec_time: 8.258138999999996
all_time: 2416.6987042427063, write_cfg_time: 0.027043819427490234, compile_time: 1998.6627321243286, exec_time: 8.261421999999996
all_time: 2438.5296235084534, write_cfg_time: 0.02746129035949707, compile_time: 2018.0758879184723, exec_time: 8.264625999999996
all_time: 2462.8817777633667, write_cfg_time: 0.027772903442382812, compile_time: 2038.321729183197, exec_time: 8.267789999999996
all_time: 2490.644304037094, write_cfg_time: 0.027994394302368164, compile_time: 2058.8770928382874, exec_time: 8.515770999999996
all_time: 2512.6352455615997, write_cfg_time: 0.028313636779785156, compile_time: 2078.2424881458282, exec_time: 8.669499999999996
all_time: 2535.200055837631, write_cfg_time: 0.028538227081298828, compile_time: 2099.0717284679413, exec_time: 8.672701999999996
all_time: 2559.3321154117584, write_cfg_time: 0.0287630558013916, compile_time: 2118.593420267105, exec_time: 8.683917999999995
all_time: 2583.221033334732, write_cfg_time: 0.02898263931274414, compile_time: 2140.184475183487, exec_time: 8.687190999999995
all_time: 2608.8081605434418, write_cfg_time: 0.029288053512573242, compile_time: 2161.0972969532013, exec_time: 8.690506999999995
