all_time: 1443.6515645980835, write_cfg_time: 0.012314796447753906, compile_time: 941.5168590545654, run_time: 497.9128305912018, exec_time: 32.377169
all_time: 1466.8940443992615, write_cfg_time: 0.012532949447631836, compile_time: 961.386970281601, run_time: 501.1901378631592, exec_time: 32.384051
all_time: 1512.756653547287, write_cfg_time: 0.012977361679077148, compile_time: 982.1892881393433, run_time: 526.1955823898315, exec_time: 34.373601
all_time: 1542.8493859767914, write_cfg_time: 0.01336216926574707, compile_time: 1002.1615934371948, run_time: 536.2575781345367, exec_time: 35.06821
all_time: 1570.8823418617249, write_cfg_time: 0.013574361801147461, compile_time: 1023.2107346057892, run_time: 543.1257536411285, exec_time: 35.580713
all_time: 1597.5220365524292, write_cfg_time: 0.013871192932128906, compile_time: 1043.4125218391418, run_time: 549.5370481014252, exec_time: 35.587557000000004
all_time: 1626.6707682609558, write_cfg_time: 0.014089822769165039, compile_time: 1062.7943148612976, run_time: 559.1791651248932, exec_time: 35.682422
all_time: 1656.8284616470337, write_cfg_time: 0.014443635940551758, compile_time: 1082.3015105724335, run_time: 569.8067815303802, exec_time: 35.827905
all_time: 1681.6358754634857, write_cfg_time: 0.014756917953491211, compile_time: 1101.9058303833008, run_time: 574.961541891098, exec_time: 35.913914
all_time: 1706.8614807128906, write_cfg_time: 0.015090227127075195, compile_time: 1121.2557020187378, run_time: 580.816225528717, exec_time: 35.923280999999996
all_time: 1737.5403413772583, write_cfg_time: 0.015288114547729492, compile_time: 1142.754348039627, run_time: 589.838531255722, exec_time: 35.931014999999995
all_time: 1779.2442741394043, write_cfg_time: 0.015555381774902344, compile_time: 1163.1508548259735, run_time: 611.0339012145996, exec_time: 38.272425
all_time: 1804.6053705215454, write_cfg_time: 0.01595139503479004, compile_time: 1182.9310657978058, run_time: 616.5698592662811, exec_time: 38.280231
all_time: 1830.5659348964691, write_cfg_time: 0.016336441040039062, compile_time: 1203.677226305008, run_time: 621.7611787319183, exec_time: 38.288866
all_time: 1855.9608387947083, write_cfg_time: 0.01668405532836914, compile_time: 1224.0459172725677, run_time: 626.7436020374298, exec_time: 38.297289
all_time: 1884.1126697063446, write_cfg_time: 0.016895771026611328, compile_time: 1245.1150994300842, run_time: 633.7621784210205, exec_time: 38.398875
all_time: 1926.3541164398193, write_cfg_time: 0.017088651657104492, compile_time: 1266.5501296520233, run_time: 654.4801712036133, exec_time: 39.036345999999995
all_time: 1950.115758895874, write_cfg_time: 0.017319202423095703, compile_time: 1286.7939038276672, run_time: 657.9186553955078, exec_time: 39.054413999999994
