all_time: 2002.3876657485962, write_cfg_time: 0.01346898078918457, compile_time: 892.0831711292267, run_time: 1105.8302750587463, exec_time: 92.04914600000002
all_time: 2042.3296163082123, write_cfg_time: 0.01379847526550293, compile_time: 911.8536024093628, run_time: 1125.9591765403748, exec_time: 93.66872600000002
all_time: 2068.8652391433716, write_cfg_time: 0.014008283615112305, compile_time: 930.3161644935608, run_time: 1133.9418914318085, exec_time: 94.27902000000002
all_time: 2152.3780262470245, write_cfg_time: 0.014348745346069336, compile_time: 949.1154427528381, run_time: 1198.6365373134613, exec_time: 98.71740000000001
all_time: 2230.026404619217, write_cfg_time: 0.014561653137207031, compile_time: 969.101396560669, run_time: 1256.249929189682, exec_time: 98.93620600000001
all_time: 2271.029569864273, write_cfg_time: 0.01475381851196289, compile_time: 988.4117228984833, run_time: 1277.8309924602509, exec_time: 100.03367600000001
all_time: 2328.5456998348236, write_cfg_time: 0.014943838119506836, compile_time: 1008.3713045120239, run_time: 1315.2934551239014, exec_time: 102.35590600000002
all_time: 2380.7602887153625, write_cfg_time: 0.015119314193725586, compile_time: 1027.8401591777802, run_time: 1347.937424659729, exec_time: 105.38761600000002
all_time: 2413.8296859264374, write_cfg_time: 0.015319347381591797, compile_time: 1046.576119184494, run_time: 1362.1002533435822, exec_time: 106.61934600000002
all_time: 2441.987674474716, write_cfg_time: 0.015561819076538086, compile_time: 1066.640827178955, run_time: 1370.0834114551544, exec_time: 107.24721400000003
all_time: 2524.8989913463593, write_cfg_time: 0.01582956314086914, compile_time: 1085.6502759456635, run_time: 1433.9587514400482, exec_time: 112.04678400000003
all_time: 2552.015444993973, write_cfg_time: 0.016109704971313477, compile_time: 1104.8667602539062, run_time: 1441.7099664211273, exec_time: 112.60692500000003
all_time: 2629.014395236969, write_cfg_time: 0.01633477210998535, compile_time: 1124.6317110061646, run_time: 1498.8740015029907, exec_time: 114.43450500000003
all_time: 2655.9605090618134, write_cfg_time: 0.016561031341552734, compile_time: 1143.6339709758759, run_time: 1506.6973214149475, exec_time: 115.03823600000003
