write_cfg_time: 0.0003638267517089844, compile_time: 20.691505670547485, run_time: 12.713596820831299, exec_time: 0.032362
write_cfg_time: 0.00023412704467773438, compile_time: 21.00989603996277, run_time: 43.98320388793945, exec_time: 4.6356
write_cfg_time: 0.00028443336486816406, compile_time: 20.357473134994507, run_time: 64.56135654449463, exec_time: 12.5119
write_cfg_time: 0.00041747093200683594, compile_time: 19.352184057235718, run_time: 39.52886176109314, exec_time: 7.54726
write_cfg_time: 0.0002589225769042969, compile_time: 20.197274684906006, run_time: 33.190510272979736, exec_time: 6.30374
write_cfg_time: 0.00033283233642578125, compile_time: 19.07779622077942, run_time: 19.30704951286316, exec_time: 0.060163
write_cfg_time: 0.00029778480529785156, compile_time: 20.34577751159668, run_time: 8.382441997528076, exec_time: 0.026617
write_cfg_time: 0.00024509429931640625, compile_time: 20.70706558227539, run_time: 20.661856651306152, exec_time: 0.388984
write_cfg_time: 0.00021386146545410156, compile_time: 20.342668771743774, run_time: 24.702845811843872, exec_time: 0.692689
write_cfg_time: 0.0001728534698486328, compile_time: 19.232876300811768, run_time: 26.15443778038025, exec_time: 0.03493
write_cfg_time: 0.00029921531677246094, compile_time: 19.081028938293457, run_time: 27.705705165863037, exec_time: 1.38245
write_cfg_time: 0.0001914501190185547, compile_time: 19.6578369140625, run_time: 24.99214744567871, exec_time: 0.034939
write_cfg_time: 0.00020170211791992188, compile_time: 20.438297033309937, run_time: 57.307995557785034, exec_time: 2.04599
write_cfg_time: 0.00023555755615234375, compile_time: 18.942049026489258, run_time: 57.4862642288208, exec_time: 5.96615
write_cfg_time: 0.00039958953857421875, compile_time: 20.65712308883667, run_time: 40.114028453826904, exec_time: 0.061696
write_cfg_time: 0.00030493736267089844, compile_time: 19.314486265182495, run_time: 2.154445171356201, exec_time: 0.033951
write_cfg_time: 0.0003349781036376953, compile_time: 20.990267038345337, run_time: 16.600963354110718, exec_time: 0.025737
write_cfg_time: 0.0002810955047607422, compile_time: 19.574970960617065, run_time: 31.327837228775024, exec_time: 1.42343
write_cfg_time: 0.0002701282501220703, compile_time: 19.94598364830017, run_time: 14.881773710250854, exec_time: 0.843149
write_cfg_time: 0.00044846534729003906, compile_time: 21.077731370925903, run_time: 21.571611642837524, exec_time: 0.033381
write_cfg_time: 0.0002105236053466797, compile_time: 18.94097661972046, run_time: 10.782609701156616, exec_time: 0.020814
write_cfg_time: 0.0003485679626464844, compile_time: 20.70731806755066, run_time: 27.2707462310791, exec_time: 1.43482
write_cfg_time: 0.0003209114074707031, compile_time: 20.636980056762695, run_time: 19.37256169319153, exec_time: 0.031902
write_cfg_time: 0.0002148151397705078, compile_time: 19.517720937728882, run_time: 18.40963578224182, exec_time: 0.024417
write_cfg_time: 0.0002627372741699219, compile_time: 19.01577925682068, run_time: 42.19758701324463, exec_time: 1.6805
write_cfg_time: 0.0003323554992675781, compile_time: 20.290180683135986, run_time: 41.808258295059204, exec_time: 5.39931
write_cfg_time: 0.00023484230041503906, compile_time: 19.964967489242554, run_time: 39.74329376220703, exec_time: 5.82857
write_cfg_time: 0.00024127960205078125, compile_time: 19.178135871887207, run_time: 53.132718324661255, exec_time: 2.37972
write_cfg_time: 0.00030732154846191406, compile_time: 20.226562023162842, run_time: 60.69639182090759, exec_time: 7.40765
write_cfg_time: 0.0004525184631347656, compile_time: 19.066531658172607, run_time: 23.57983112335205, exec_time: 4.38328
write_cfg_time: 0.00048732757568359375, compile_time: 20.736520528793335, run_time: 41.779376745224, exec_time: 5.69173
write_cfg_time: 0.00023651123046875, compile_time: 18.85584831237793, run_time: 35.464529514312744, exec_time: 6.69925
write_cfg_time: 0.00016880035400390625, compile_time: 20.5129611492157, run_time: 30.58337903022766, exec_time: 0.06825
