write_cfg_time: 0.0003707408905029297, compile_time: 20.24232029914856, run_time: 5.8499908447265625, exec_time: 0.003567
write_cfg_time: 0.00022339820861816406, compile_time: 20.02799105644226, run_time: 3.2541768550872803, exec_time: 0.003862
write_cfg_time: 0.00029778480529785156, compile_time: 20.894002437591553, run_time: 4.5586042404174805, exec_time: 0.00266
write_cfg_time: 0.0006206035614013672, compile_time: 20.913613319396973, run_time: 3.5007832050323486, exec_time: 0.00405
write_cfg_time: 0.00021505355834960938, compile_time: 19.372969150543213, run_time: 9.04410457611084, exec_time: 0.034573
write_cfg_time: 0.0003814697265625, compile_time: 19.671612977981567, run_time: 3.6574251651763916, exec_time: 0.002985
write_cfg_time: 0.00023794174194335938, compile_time: 19.80945348739624, run_time: 16.638148546218872, exec_time: 0.180509
write_cfg_time: 0.00029730796813964844, compile_time: 21.439993858337402, run_time: 5.208107233047485, exec_time: 0.003131
write_cfg_time: 0.00029754638671875, compile_time: 19.36574101448059, run_time: 9.142050743103027, exec_time: 0.007087
write_cfg_time: 0.0003151893615722656, compile_time: 20.03586745262146, run_time: 2.7463505268096924, exec_time: 0.002766
write_cfg_time: 0.00023245811462402344, compile_time: 19.62545609474182, run_time: 3.633223533630371, exec_time: 0.003863
write_cfg_time: 0.0003833770751953125, compile_time: 19.17969250679016, run_time: 4.9372336864471436, exec_time: 0.003094
write_cfg_time: 0.0002694129943847656, compile_time: 20.80900263786316, run_time: 4.918487787246704, exec_time: 0.002357
write_cfg_time: 0.0004925727844238281, compile_time: 21.969291925430298, run_time: 7.431999206542969, exec_time: 0.003783
write_cfg_time: 0.0003006458282470703, compile_time: 20.47143054008484, run_time: 1.1376748085021973, exec_time: 0.003347
write_cfg_time: 0.00039267539978027344, compile_time: 19.871124267578125, run_time: 6.316748857498169, exec_time: 0.003128
write_cfg_time: 0.00021767616271972656, compile_time: 20.280614852905273, run_time: 5.368305683135986, exec_time: 0.00262
write_cfg_time: 0.0001895427703857422, compile_time: 21.35415029525757, run_time: 1.507129192352295, exec_time: 0.002832
write_cfg_time: 0.0002391338348388672, compile_time: 20.176559448242188, run_time: 4.535579204559326, exec_time: 0.00238
write_cfg_time: 0.0003848075866699219, compile_time: 19.435458183288574, run_time: 2.2928433418273926, exec_time: 0.002272
