dimacs9-E DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.7114403247833252, 0.002977
douban DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.30400800704956055, 0.000391
facebook-wosn-wall DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.2965991497039795, 0.000369
github DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.25030946731567383, 0.000458
komarix-imdb DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.6004483699798584, 0.000493
moreno_blogs DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.5529830455780029, 0.000232
opsahl-usairport DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.4393167495727539, 0.000281
patentcite DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 1.174889087677002, 0.013853
petster-friendships-dog DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.6889686584472656, 0.000712
roadNet-CA DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.8683280944824219, 0.001813
subelj_cora DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.5674171447753906, 0.00032
sx-mathoverflow DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.5696136951446533, 0.000422
youtube-groupmemberships DISABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.4419114589691162, 0.000266
sx-stackoverflow DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 6.527395009994507, 0.008672
dblp-cite DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.5573198795318604, 0.001235
dbpedia-team DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.8801088333129883, 0.004855
dimacs9-E DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 1.279515027999878, 0.003706
douban DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.612656831741333, 0.000375
facebook-wosn-wall DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.4645833969116211, 0.000398
github DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.7239155769348145, 0.000946
