subelj_cora ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 1.3491640090942383, 0.000593
sx-mathoverflow ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 1.520794153213501, 0.049812
youtube-groupmemberships ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 1.4921722412109375, 0.045329
sx-stackoverflow DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 12.34571623802185, 0.131871
dblp-cite DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.7838020324707031, 0.043174
dbpedia-team DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 2.1927101612091064, 0.101608
dimacs9-E DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 2.49458909034729, 0.055257
douban DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.6673555374145508, 0.009335
facebook-wosn-wall DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.563091516494751, 0.047472
github DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.6010615825653076, 0.002905
komarix-imdb DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.7677299976348877, 0.016356
moreno_blogs DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.6542210578918457, 0.000887
opsahl-usairport DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.329923391342163, 0.001159
patentcite DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 5.790654420852661, 0.092159
petster-friendships-dog DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 3.9986302852630615, 0.231552
roadNet-CA DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 2.1683006286621094, 0.018604
subelj_cora DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.139453649520874, 0.000699
sx-mathoverflow DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.382150650024414, 0.001401
youtube-groupmemberships DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.9041342735290527, 0.03931
sx-stackoverflow DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 5.571768045425415, 0.348061
dblp-cite DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 1.6562888622283936, 0.000989
dbpedia-team DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 2.8867671489715576, 0.024393
dimacs9-E DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 2.9196841716766357, 0.132828
douban DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 2.3832736015319824, 0.098375
facebook-wosn-wall DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 1.5605130195617676, 0.001059
github DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 1.2105097770690918, 0.001525
komarix-imdb DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 1.0448038578033447, 0.003356
moreno_blogs DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 1.8118095397949219, 0.000995
opsahl-usairport DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 2.026226043701172, 0.000967
patentcite DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 4.126594543457031, 0.271009
petster-friendships-dog DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 2.2982170581817627, 0.058419
roadNet-CA DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 2.560861825942993, 0.058909
subelj_cora DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 2.507578134536743, 0.00971
sx-mathoverflow DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 2.269280195236206, 0.001158
youtube-groupmemberships DISABLED, TWC, None, 0, PUSH, DISABLED, FUSED, None, 2.4709558486938477, 0.008258
sx-stackoverflow ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 3.7631325721740723, 0.088934
dblp-cite ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 1.6059939861297607, 0.042718
dbpedia-team ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 1.355384111404419, 0.003012
dimacs9-E ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 1.8361051082611084, 0.00836
douban ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.9682931900024414, 0.000462
facebook-wosn-wall ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.7809481620788574, 0.000498
github ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 1.174992322921753, 0.000677
komarix-imdb ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 1.241764783859253, 0.00229
moreno_blogs ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 1.4661343097686768, 0.011262
opsahl-usairport ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.75746750831604, 0.000507
patentcite ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 3.7322235107421875, 0.123584
petster-friendships-dog ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 1.8103833198547363, 0.052896
roadNet-CA ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 1.995683193206787, 0.089325
subelj_cora ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.5057079792022705, 0.0004
sx-mathoverflow ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 1.40913724899292, 0.0006
youtube-groupmemberships ENABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 1.9545838832855225, 0.066359
sx-stackoverflow DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 2.3286497592926025, 0.025335
dblp-cite DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.5896186828613281, 0.000379
dbpedia-team DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.9186375141143799, 0.003497
dimacs9-E DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.9896163940429688, 0.009462
douban DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.651355504989624, 0.00043
facebook-wosn-wall DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.38591980934143066, 0.000437
