roadNet-CA DensePull, serial, bitvector, false, 10, 0.2367115020751953
subelj_cora DensePull, serial, bitvector, false, 10, 1.4190902709960938
sx-mathoverflow DensePull, serial, bitvector, false, 10, 0.038607120513916016
youtube-groupmemberships DensePull, serial, bitvector, false, 10, 0.0432431697845459
sx-stackoverflow DensePull, serial, bitvector, false, 12, 1.6769652366638184
dblp-cite DensePull, serial, bitvector, false, 12, 0.043874502182006836
dbpedia-team DensePull, serial, bitvector, false, 12, 0.20799779891967773
dimacs9-E DensePull, serial, bitvector, false, 12, 157.80801796913147
douban DensePull, serial, bitvector, false, 12, 0.3124070167541504
facebook-wosn-wall DensePull, serial, bitvector, false, 12, 0.05239987373352051
github DensePull, serial, bitvector, false, 12, 0.0693206787109375
komarix-imdb DensePull, serial, bitvector, false, 12, 0.42958641052246094
moreno_blogs DensePull, serial, bitvector, false, 12, 0.25058412551879883
opsahl-usairport DensePull, serial, bitvector, false, 12, 0.03534579277038574
patentcite DensePull, serial, bitvector, false, 12, 1.7863128185272217
petster-friendships-dog DensePull, serial, bitvector, false, 12, 0.35317516326904297
roadNet-CA DensePull, serial, bitvector, false, 12, 0.17932605743408203
subelj_cora DensePull, serial, bitvector, false, 12, 0.054410696029663086
sx-mathoverflow DensePull, serial, bitvector, false, 12, 0.07131338119506836
youtube-groupmemberships DensePull, serial, bitvector, false, 12, 0.03797721862792969
sx-stackoverflow DensePull, serial, bitvector, false, 14, 1.7490317821502686
dblp-cite DensePull, serial, bitvector, false, 14, 0.48762083053588867
dbpedia-team DensePull, serial, bitvector, false, 14, 0.09832978248596191
dimacs9-E DensePull, serial, bitvector, false, 14, 154.91289806365967
douban DensePull, serial, bitvector, false, 14, 0.07726335525512695
facebook-wosn-wall DensePull, serial, bitvector, false, 14, 0.06996536254882812
github DensePull, serial, bitvector, false, 14, 0.18360233306884766
komarix-imdb DensePull, serial, bitvector, false, 14, 0.25182390213012695
moreno_blogs DensePull, serial, bitvector, false, 14, 0.24840331077575684
opsahl-usairport DensePull, serial, bitvector, false, 14, 0.03130292892456055
patentcite DensePull, serial, bitvector, false, 14, 1.8477420806884766
petster-friendships-dog DensePull, serial, bitvector, false, 14, 0.21861958503723145
roadNet-CA DensePull, serial, bitvector, false, 14, 0.1658940315246582
subelj_cora DensePull, serial, bitvector, false, 14, 0.052576303482055664
sx-mathoverflow DensePull, serial, bitvector, false, 14, 0.03602099418640137
youtube-groupmemberships DensePull, serial, bitvector, false, 14, 0.059567928314208984
sx-stackoverflow DensePull, serial, bitvector, false, 16, 1.7365705966949463
dblp-cite DensePull, serial, bitvector, false, 16, 0.4869680404663086
dbpedia-team DensePull, serial, bitvector, false, 16, 0.20163869857788086
dimacs9-E DensePull, serial, bitvector, false, 16, 158.23562788963318
douban DensePull, serial, bitvector, false, 16, 0.0723581314086914
facebook-wosn-wall DensePull, serial, bitvector, false, 16, 0.049239158630371094
github DensePull, serial, bitvector, false, 16, 0.06220555305480957
komarix-imdb DensePull, serial, bitvector, false, 16, 0.25099873542785645
moreno_blogs DensePull, serial, bitvector, false, 16, 0.02799534797668457
opsahl-usairport DensePull, serial, bitvector, false, 16, 0.034590721130371094
patentcite DensePull, serial, bitvector, false, 16, 1.708951711654663
petster-friendships-dog DensePull, serial, bitvector, false, 16, 0.24131512641906738
roadNet-CA DensePull, serial, bitvector, false, 16, 0.31150174140930176
subelj_cora DensePull, serial, bitvector, false, 16, 0.05940604209899902
sx-mathoverflow DensePull, serial, bitvector, false, 16, 0.04535031318664551
youtube-groupmemberships DensePull, serial, bitvector, false, 16, 0.059398651123046875
sx-stackoverflow DensePull, serial, bitvector, false, 18, 1.7372050285339355
dblp-cite DensePull, serial, bitvector, false, 18, 0.4252781867980957
dbpedia-team DensePull, serial, bitvector, false, 18, 0.08436298370361328
dimacs9-E DensePull, serial, bitvector, false, 18, 156.10576629638672
douban DensePull, serial, bitvector, false, 18, 0.05264925956726074
facebook-wosn-wall DensePull, serial, bitvector, false, 18, 0.37903642654418945
github DensePull, serial, bitvector, false, 18, 0.06750202178955078
komarix-imdb DensePull, serial, bitvector, false, 18, 0.5311236381530762
moreno_blogs DensePull, serial, bitvector, false, 18, 0.13440227508544922
opsahl-usairport DensePull, serial, bitvector, false, 18, 0.038526296615600586
patentcite DensePull, serial, bitvector, false, 18, 1.6235339641571045
petster-friendships-dog DensePull, serial, bitvector, false, 18, 0.36262035369873047
roadNet-CA DensePull, serial, bitvector, false, 18, 0.15805983543395996
subelj_cora DensePull, serial, bitvector, false, 18, 0.06563568115234375
sx-mathoverflow DensePull, serial, bitvector, false, 18, 0.19709396362304688
youtube-groupmemberships DensePull, serial, bitvector, false, 18, 0.060013532638549805
sx-stackoverflow DensePull, serial, bitvector, false, 20, 1.8939847946166992
dblp-cite DensePull, serial, bitvector, false, 20, 0.036856889724731445
dbpedia-team DensePull, serial, bitvector, false, 20, 0.22663402557373047
dimacs9-E DensePull, serial, bitvector, false, 20, 156.6173117160797
douban DensePull, serial, bitvector, false, 20, 0.09776926040649414
facebook-wosn-wall DensePull, serial, bitvector, false, 20, 0.054086923599243164
github DensePull, serial, bitvector, false, 20, 0.17270445823669434
komarix-imdb DensePull, serial, bitvector, false, 20, 0.5354189872741699
moreno_blogs DensePull, serial, bitvector, false, 20, 0.03145861625671387
opsahl-usairport DensePull, serial, bitvector, false, 20, 0.04531145095825195
patentcite DensePull, serial, bitvector, false, 20, 1.7252655029296875
petster-friendships-dog DensePull, serial, bitvector, false, 20, 0.2431473731994629
roadNet-CA DensePull, serial, bitvector, false, 20, 0.31241464614868164
subelj_cora DensePull, serial, bitvector, false, 20, 0.05622458457946777
sx-mathoverflow DensePull, serial, bitvector, false, 20, 0.03511190414428711
youtube-groupmemberships DensePull, serial, bitvector, false, 20, 0.04176068305969238
sx-stackoverflow DensePull, serial, bitvector, false, 22, 1.9546818733215332
dblp-cite DensePull, serial, bitvector, false, 22, 0.033971309661865234
dbpedia-team DensePull, serial, bitvector, false, 22, 0.09081816673278809
dimacs9-E DensePull, serial, bitvector, false, 22, 171.22945594787598
douban DensePull, serial, bitvector, false, 22, 0.07164168357849121
facebook-wosn-wall DensePull, serial, bitvector, false, 22, 0.058621883392333984
github DensePull, serial, bitvector, false, 22, 0.07050156593322754
komarix-imdb DensePull, serial, bitvector, false, 22, 0.24670648574829102
moreno_blogs DensePull, serial, bitvector, false, 22, 0.060250043869018555
opsahl-usairport DensePull, serial, bitvector, false, 22, 0.028196334838867188
patentcite DensePull, serial, bitvector, false, 22, 2.1476030349731445
petster-friendships-dog DensePull, serial, bitvector, false, 22, 0.23603487014770508
roadNet-CA DensePull, serial, bitvector, false, 22, 0.17587041854858398
subelj_cora DensePull, serial, bitvector, false, 22, 0.05655264854431152
sx-mathoverflow DensePull, serial, bitvector, false, 22, 0.05802440643310547
youtube-groupmemberships DensePull, serial, bitvector, false, 22, 0.044332027435302734
sx-stackoverflow DensePull, serial, bitvector, static-parallel, 0, 0.8950459957122803
dblp-cite DensePull, serial, bitvector, static-parallel, 0, 0.20675873756408691
