dblp-cite DensePull, dynamic-vertex-parallel, boolean-array, false, 0, 0.047239065170288086
dbpedia-team DensePull, dynamic-vertex-parallel, boolean-array, false, 0, 0.35048651695251465
dimacs9-E DensePull, dynamic-vertex-parallel, boolean-array, false, 0, 10.243039846420288
douban DensePull, dynamic-vertex-parallel, boolean-array, false, 0, 0.10075187683105469
facebook-wosn-wall DensePull, dynamic-vertex-parallel, boolean-array, false, 0, 0.19187307357788086
github DensePull, dynamic-vertex-parallel, boolean-array, false, 0, 0.4087979793548584
komarix-imdb DensePull, dynamic-vertex-parallel, boolean-array, false, 0, 1.408745288848877
moreno_blogs DensePull, dynamic-vertex-parallel, boolean-array, false, 0, 0.09864091873168945
opsahl-usairport DensePull, dynamic-vertex-parallel, boolean-array, false, 0, 0.052689552307128906
patentcite DensePull, dynamic-vertex-parallel, boolean-array, false, 0, 2.9854793548583984
petster-friendships-dog DensePull, dynamic-vertex-parallel, boolean-array, false, 0, 1.6800057888031006
roadNet-CA DensePull, dynamic-vertex-parallel, boolean-array, false, 0, 0.5951249599456787
subelj_cora DensePull, dynamic-vertex-parallel, boolean-array, false, 0, 0.053202152252197266
sx-mathoverflow DensePull, dynamic-vertex-parallel, boolean-array, false, 0, 0.13368439674377441
youtube-groupmemberships DensePull, dynamic-vertex-parallel, boolean-array, false, 0, 0.1008448600769043
sx-stackoverflow DensePull, dynamic-vertex-parallel, bitvector, false, 0, 10.644307136535645
dblp-cite DensePull, dynamic-vertex-parallel, bitvector, false, 0, 1.0957489013671875
dbpedia-team DensePull, dynamic-vertex-parallel, bitvector, false, 0, 1.0479929447174072
dimacs9-E DensePull, dynamic-vertex-parallel, bitvector, false, 0, 6.295138359069824
douban DensePull, dynamic-vertex-parallel, bitvector, false, 0, 0.5729310512542725
facebook-wosn-wall DensePull, dynamic-vertex-parallel, bitvector, false, 0, 0.7999391555786133
github DensePull, dynamic-vertex-parallel, bitvector, false, 0, 1.0844650268554688
komarix-imdb DensePull, dynamic-vertex-parallel, bitvector, false, 0, 0.9927904605865479
moreno_blogs DensePull, dynamic-vertex-parallel, bitvector, false, 0, 0.9378292560577393
opsahl-usairport DensePull, dynamic-vertex-parallel, bitvector, false, 0, 0.16298270225524902
patentcite DensePull, dynamic-vertex-parallel, bitvector, false, 0, 2.8738694190979004
petster-friendships-dog DensePull, dynamic-vertex-parallel, bitvector, false, 0, 2.122929811477661
roadNet-CA DensePull, dynamic-vertex-parallel, bitvector, false, 0, 1.5473995208740234
subelj_cora DensePull, dynamic-vertex-parallel, bitvector, false, 0, 0.05623769760131836
sx-mathoverflow DensePull, dynamic-vertex-parallel, bitvector, false, 0, 0.1503300666809082
youtube-groupmemberships DensePull, dynamic-vertex-parallel, bitvector, false, 0, 0.40025877952575684
sx-stackoverflow DensePull, static-vertex-parallel, boolean-array, false, 0, 9.700355052947998
dblp-cite DensePull, static-vertex-parallel, boolean-array, false, 0, 1.1322274208068848
dbpedia-team DensePull, static-vertex-parallel, boolean-array, false, 0, 1.0584125518798828
dimacs9-E DensePull, static-vertex-parallel, boolean-array, false, 0, 5.571951866149902
douban DensePull, static-vertex-parallel, boolean-array, false, 0, 1.102595567703247
facebook-wosn-wall DensePull, static-vertex-parallel, boolean-array, false, 0, 0.59564208984375
github DensePull, static-vertex-parallel, boolean-array, false, 0, 1.0266304016113281
komarix-imdb DensePull, static-vertex-parallel, boolean-array, false, 0, 1.1902854442596436
moreno_blogs DensePull, static-vertex-parallel, boolean-array, false, 0, 0.8002235889434814
opsahl-usairport DensePull, static-vertex-parallel, boolean-array, false, 0, 0.03797316551208496
patentcite DensePull, static-vertex-parallel, boolean-array, false, 0, 3.27305269241333
petster-friendships-dog DensePull, static-vertex-parallel, boolean-array, false, 0, 1.8038198947906494
roadNet-CA DensePull, static-vertex-parallel, boolean-array, false, 0, 0.6170690059661865
subelj_cora DensePull, static-vertex-parallel, boolean-array, false, 0, 0.7164757251739502
