all_time: 2068.3450212478638, write_cfg_time: 0.012485504150390625, compile_time: 884.8275446891785, run_time: 1178.0655851364136, exec_time: 65.34358899999995
all_time: 2092.158127307892, write_cfg_time: 0.012819290161132812, compile_time: 903.9336800575256, run_time: 1182.750641822815, exec_time: 65.37350999999995
all_time: 2122.253589630127, write_cfg_time: 0.013293027877807617, compile_time: 923.9102447032928, run_time: 1192.81907081604, exec_time: 65.41075699999995
all_time: 2144.2928223609924, write_cfg_time: 0.013626337051391602, compile_time: 944.4294123649597, run_time: 1194.2798652648926, exec_time: 65.42557799999994
all_time: 2164.7088282108307, write_cfg_time: 0.013844013214111328, compile_time: 962.9498417377472, run_time: 1196.128263950348, exec_time: 65.44079499999995
all_time: 2188.8201410770416, write_cfg_time: 0.014071941375732422, compile_time: 982.5659458637238, run_time: 1200.5049667358398, exec_time: 65.47139899999995
all_time: 2208.670679092407, write_cfg_time: 0.014301776885986328, compile_time: 1001.557154417038, run_time: 1201.333221912384, exec_time: 65.49078499999995
all_time: 2230.224582195282, write_cfg_time: 0.014507055282592773, compile_time: 1021.4963173866272, run_time: 1202.8685088157654, exec_time: 65.50641399999995
all_time: 2249.9831919670105, write_cfg_time: 0.014750480651855469, compile_time: 1040.8330872058868, run_time: 1203.2619304656982, exec_time: 65.52086399999995
all_time: 2271.2065165042877, write_cfg_time: 0.01505589485168457, compile_time: 1059.5668137073517, run_time: 1205.6935296058655, exec_time: 65.53447199999995
all_time: 2291.5793163776398, write_cfg_time: 0.015397787094116211, compile_time: 1078.5252149105072, run_time: 1207.0838024616241, exec_time: 65.56534599999995
all_time: 2315.923818588257, write_cfg_time: 0.015618324279785156, compile_time: 1097.8586449623108, run_time: 1212.0179426670074, exec_time: 65.59919499999995
all_time: 2337.5299820899963, write_cfg_time: 0.01590728759765625, compile_time: 1117.0391614437103, run_time: 1214.4230325222015, exec_time: 65.61210599999995
all_time: 2364.065586566925, write_cfg_time: 0.016269207000732422, compile_time: 1136.8742785453796, run_time: 1221.0714228153229, exec_time: 65.62884099999995
all_time: 2386.9734556674957, write_cfg_time: 0.01649188995361328, compile_time: 1156.8702359199524, run_time: 1223.910616159439, exec_time: 65.64141099999995
all_time: 2409.96369099617, write_cfg_time: 0.016712427139282227, compile_time: 1177.1791892051697, run_time: 1226.5298631191254, exec_time: 65.67014499999995
all_time: 2437.092430114746, write_cfg_time: 0.01695704460144043, compile_time: 1197.5945496559143, run_time: 1233.1902694702148, exec_time: 65.69859399999994
all_time: 2458.7841334342957, write_cfg_time: 0.017279386520385742, compile_time: 1216.3145282268524, run_time: 1236.1209890842438, exec_time: 65.71114299999995
all_time: 2486.228989124298, write_cfg_time: 0.01753520965576172, compile_time: 1235.939876317978, run_time: 1243.8893494606018, exec_time: 65.73933799999995
all_time: 2511.2107393741608, write_cfg_time: 0.01790452003479004, compile_time: 1255.68882894516, run_time: 1249.0663840770721, exec_time: 65.75166099999994
all_time: 2533.651081800461, write_cfg_time: 0.018160581588745117, compile_time: 1275.8823239803314, run_time: 1251.2851357460022, exec_time: 65.76438299999994
