write_cfg_time: 0.00020360946655273438, compile_time: 19.295377016067505, run_time: 2.14955472946167, exec_time: 0.127408
write_cfg_time: 0.0003452301025390625, compile_time: 20.605480670928955, run_time: 1.0555658340454102, exec_time: 0.084186
write_cfg_time: 0.00023937225341796875, compile_time: 19.91876721382141, run_time: 13.856176614761353, exec_time: 0.205894
write_cfg_time: 0.00019097328186035156, compile_time: 19.340730667114258, run_time: 1.2884480953216553, exec_time: 0.007224
write_cfg_time: 0.0002560615539550781, compile_time: 19.472574710845947, run_time: 3.5529751777648926, exec_time: 0.160383
write_cfg_time: 0.00017762184143066406, compile_time: 18.718003511428833, run_time: 2.4495322704315186, exec_time: 0.146044
write_cfg_time: 0.00022530555725097656, compile_time: 20.279049158096313, run_time: 4.055865287780762, exec_time: 0.187023
write_cfg_time: 0.0003457069396972656, compile_time: 20.077178478240967, run_time: 4.561936140060425, exec_time: 0.7714
write_cfg_time: 0.0002148151397705078, compile_time: 18.667697429656982, run_time: 1.4740824699401855, exec_time: 0.060489
write_cfg_time: 0.00032520294189453125, compile_time: 18.975863218307495, run_time: 1.9414303302764893, exec_time: 0.006865
write_cfg_time: 0.0003342628479003906, compile_time: 20.240099906921387, run_time: 1.3899273872375488, exec_time: 0.111666
write_cfg_time: 0.0001862049102783203, compile_time: 18.960214614868164, run_time: 1.0706977844238281, exec_time: 0.091962
write_cfg_time: 0.00022339820861816406, compile_time: 18.654513597488403, run_time: 0.932206392288208, exec_time: 0.097904
write_cfg_time: 0.0003273487091064453, compile_time: 19.7882182598114, run_time: 9.146809101104736, exec_time: 0.633224
write_cfg_time: 0.0002903938293457031, compile_time: 19.861945390701294, run_time: 4.033657073974609, exec_time: 0.520543
write_cfg_time: 0.00037980079650878906, compile_time: 19.305588006973267, run_time: 2.4479591846466064, exec_time: 0.173724
write_cfg_time: 0.00019621849060058594, compile_time: 19.165549278259277, run_time: 1.3001081943511963, exec_time: 0.007163
write_cfg_time: 0.00037670135498046875, compile_time: 19.68383550643921, run_time: 2.1071197986602783, exec_time: 0.086921
write_cfg_time: 0.0002827644348144531, compile_time: 20.127005338668823, run_time: 5.292020559310913, exec_time: 0.334795
write_cfg_time: 0.00023818016052246094, compile_time: 19.81563401222229, run_time: 3.533569812774658, exec_time: 0.034396
write_cfg_time: 0.00027871131896972656, compile_time: 20.211387395858765, run_time: 1.2503674030303955, exec_time: 0.036297
write_cfg_time: 0.00038313865661621094, compile_time: 19.862045764923096, run_time: 3.830176830291748, exec_time: 0.08423
write_cfg_time: 0.0002028942108154297, compile_time: 20.465277194976807, run_time: 2.2592692375183105, exec_time: 0.097127
write_cfg_time: 0.000247955322265625, compile_time: 19.515517950057983, run_time: 4.599725961685181, exec_time: 0.035275
write_cfg_time: 0.00031638145446777344, compile_time: 19.235966682434082, run_time: 3.680997133255005, exec_time: 0.138746
write_cfg_time: 0.0003230571746826172, compile_time: 19.55881929397583, run_time: 2.8632423877716064, exec_time: 0.016747
write_cfg_time: 0.00029206275939941406, compile_time: 21.900940656661987, run_time: 1.0159504413604736, exec_time: 0.00838
write_cfg_time: 0.000202178955078125, compile_time: 19.49421501159668, run_time: 3.8001747131347656, exec_time: 0.119292
write_cfg_time: 0.0003376007080078125, compile_time: 19.88687252998352, run_time: 1.4746358394622803, exec_time: 0.104363
write_cfg_time: 0.0003643035888671875, compile_time: 19.309168815612793, run_time: 2.2520480155944824, exec_time: 0.09342
write_cfg_time: 0.0003361701965332031, compile_time: 20.502238750457764, run_time: 2.961524248123169, exec_time: 0.194694
write_cfg_time: 0.0001773834228515625, compile_time: 18.71872854232788, run_time: 2.665834426879883, exec_time: 0.128584
write_cfg_time: 0.0002815723419189453, compile_time: 19.369690418243408, run_time: 1.7417495250701904, exec_time: 0.1941
write_cfg_time: 0.00020503997802734375, compile_time: 20.12906241416931, run_time: 3.31520414352417, exec_time: 0.494124
write_cfg_time: 0.00032520294189453125, compile_time: 20.4360408782959, run_time: 2.1995768547058105, exec_time: 0.022798
write_cfg_time: 0.00018453598022460938, compile_time: 18.666071891784668, run_time: 2.8119163513183594, exec_time: 0.053237
write_cfg_time: 0.00031304359436035156, compile_time: 18.93537425994873, run_time: 2.0461864471435547, exec_time: 0.235958
write_cfg_time: 0.0002262592315673828, compile_time: 19.470288038253784, run_time: 2.42702054977417, exec_time: 0.232004
write_cfg_time: 0.00021147727966308594, compile_time: 18.886054515838623, run_time: 0.9342904090881348, exec_time: 0.088805
write_cfg_time: 0.00033855438232421875, compile_time: 20.59677743911743, run_time: 4.174161434173584, exec_time: 0.286292
write_cfg_time: 0.0002415180206298828, compile_time: 19.593064308166504, run_time: 2.1341073513031006, exec_time: 0.035556
write_cfg_time: 0.0003306865692138672, compile_time: 19.864148378372192, run_time: 2.033665180206299, exec_time: 0.006807
write_cfg_time: 0.0002598762512207031, compile_time: 19.798068046569824, run_time: 1.2951490879058838, exec_time: 0.065482
write_cfg_time: 0.0003104209899902344, compile_time: 20.176713228225708, run_time: 3.786813259124756, exec_time: 0.159339
write_cfg_time: 0.0002028942108154297, compile_time: 18.714475870132446, run_time: 4.426353216171265, exec_time: 0.617514
write_cfg_time: 0.0003101825714111328, compile_time: 19.076008319854736, run_time: 3.727222442626953, exec_time: 0.684652
write_cfg_time: 0.0002288818359375, compile_time: 19.728905200958252, run_time: 9.196934461593628, exec_time: 0.009392
write_cfg_time: 0.0002696514129638672, compile_time: 19.865036725997925, run_time: 1.1660351753234863, exec_time: 0.115336
write_cfg_time: 0.0002675056457519531, compile_time: 20.20685887336731, run_time: 4.291172742843628, exec_time: 0.227009
write_cfg_time: 0.0003402233123779297, compile_time: 18.839701890945435, run_time: 3.392552137374878, exec_time: 0.349507
write_cfg_time: 0.0002009868621826172, compile_time: 18.967853546142578, run_time: 1.185917615890503, exec_time: 0.108713
write_cfg_time: 0.00033926963806152344, compile_time: 21.0794620513916, run_time: 1.699523687362671, exec_time: 0.026501
