all_time: 3592.8431582450867, write_cfg_time: 0.012090206146240234, compile_time: 872.8496763706207, run_time: 2715.2587237358093, exec_time: 155.109508
all_time: 3677.034924030304, write_cfg_time: 0.012388467788696289, compile_time: 892.519645690918, run_time: 2779.741698741913, exec_time: 157.653758
all_time: 3742.040758371353, write_cfg_time: 0.012672185897827148, compile_time: 912.4043111801147, run_time: 2824.7626671791077, exec_time: 161.857628
all_time: 3806.0768542289734, write_cfg_time: 0.013000249862670898, compile_time: 932.0810143947601, run_time: 2869.0840797424316, exec_time: 165.377318
all_time: 3906.301373720169, write_cfg_time: 0.013236522674560547, compile_time: 952.9135341644287, run_time: 2948.3431758880615, exec_time: 170.041008
all_time: 3984.6860337257385, write_cfg_time: 0.013702630996704102, compile_time: 972.6061720848083, run_time: 3006.9860599040985, exec_time: 171.107898
all_time: 4061.1304240226746, write_cfg_time: 0.013888359069824219, compile_time: 991.134644985199, run_time: 3064.813328742981, exec_time: 171.303647
all_time: 4158.625690937042, write_cfg_time: 0.014371156692504883, compile_time: 1009.9930913448334, run_time: 3143.4086425304413, exec_time: 178.943427
all_time: 4250.082136631012, write_cfg_time: 0.014622211456298828, compile_time: 1029.76762008667, run_time: 3214.974098443985, exec_time: 181.251767
all_time: 4305.223524093628, write_cfg_time: 0.014834403991699219, compile_time: 1049.0189006328583, run_time: 3250.7691662311554, exec_time: 184.595717
all_time: 4379.681127309799, write_cfg_time: 0.015059947967529297, compile_time: 1069.3686695098877, run_time: 3304.7713437080383, exec_time: 189.759637
all_time: 4438.60304069519, write_cfg_time: 0.015375137329101562, compile_time: 1089.1593589782715, run_time: 3343.8528332710266, exec_time: 193.468147
all_time: 4540.139534473419, write_cfg_time: 0.015565156936645508, compile_time: 1109.0908765792847, run_time: 3425.362207174301, exec_time: 201.331777
all_time: 4631.587859630585, write_cfg_time: 0.015782594680786133, compile_time: 1128.378017425537, run_time: 3497.4136295318604, exec_time: 201.551944
all_time: 4729.88726067543, write_cfg_time: 0.01608443260192871, compile_time: 1148.1214232444763, run_time: 3575.8612847328186, exec_time: 209.006654
all_time: 4823.958617210388, write_cfg_time: 0.016317367553710938, compile_time: 1167.186357975006, run_time: 3650.729103088379, exec_time: 213.166274
all_time: 4851.719168424606, write_cfg_time: 0.01654529571533203, compile_time: 1186.9164187908173, run_time: 3658.6549072265625, exec_time: 213.79795199999998
all_time: 4947.498035907745, write_cfg_time: 0.01688528060913086, compile_time: 1207.7235689163208, run_time: 3733.60778260231, exec_time: 217.34300199999998
all_time: 4990.385206699371, write_cfg_time: 0.017345190048217773, compile_time: 1227.8125412464142, run_time: 3756.356065750122, exec_time: 217.77540199999999
all_time: 5049.242159605026, write_cfg_time: 0.017592668533325195, compile_time: 1247.6733894348145, run_time: 3795.234807252884, exec_time: 221.400862
all_time: 5132.368223428726, write_cfg_time: 0.01789379119873047, compile_time: 1267.5515086650848, run_time: 3858.432915687561, exec_time: 222.113083
all_time: 5233.967022180557, write_cfg_time: 0.018110275268554688, compile_time: 1287.8267042636871, run_time: 3939.6722292900085, exec_time: 229.964833
all_time: 5335.6905834674835, write_cfg_time: 0.01845526695251465, compile_time: 1308.134596824646, run_time: 4021.049656867981, exec_time: 237.823893
all_time: 5433.389634132385, write_cfg_time: 0.018830537796020508, compile_time: 1328.2727358341217, run_time: 4098.575128555298, exec_time: 245.371533
all_time: 5519.738134145737, write_cfg_time: 0.019067049026489258, compile_time: 1348.3610637187958, run_time: 4164.623084783554, exec_time: 246.310445
all_time: 5616.258161783218, write_cfg_time: 0.019277572631835938, compile_time: 1368.1049807071686, run_time: 4241.300236225128, exec_time: 252.674205
all_time: 5715.463664531708, write_cfg_time: 0.019617557525634766, compile_time: 1387.289006471634, run_time: 4321.280373811722, exec_time: 260.413715
all_time: 5814.869232416153, write_cfg_time: 0.01999378204345703, compile_time: 1406.3989474773407, run_time: 4401.528706789017, exec_time: 268.224085
all_time: 5920.70720744133, write_cfg_time: 0.02023172378540039, compile_time: 1425.4378221035004, run_time: 4488.16779756546, exec_time: 276.683715
all_time: 6010.415241956711, write_cfg_time: 0.020429372787475586, compile_time: 1445.1596014499664, run_time: 4558.048645734787, exec_time: 281.49145500000003
all_time: 6108.033002614975, write_cfg_time: 0.020639896392822266, compile_time: 1464.2957725524902, run_time: 4636.4377999305725, exec_time: 289.00673500000005
all_time: 6196.359619379044, write_cfg_time: 0.020913124084472656, compile_time: 1484.845516204834, run_time: 4704.144823551178, exec_time: 295.47879500000005
all_time: 6289.280152797699, write_cfg_time: 0.02116680145263672, compile_time: 1504.1094543933868, run_time: 4777.6644282341, exec_time: 302.35051500000003
all_time: 6382.813511610031, write_cfg_time: 0.02155923843383789, compile_time: 1523.1929204463959, run_time: 4852.061509132385, exec_time: 309.57844500000004
all_time: 6482.657541275024, write_cfg_time: 0.021874189376831055, compile_time: 1543.2867622375488, run_time: 4931.764874219894, exec_time: 317.24023500000004
all_time: 6575.522918701172, write_cfg_time: 0.022159576416015625, compile_time: 1563.0126242637634, run_time: 5004.861176490784, exec_time: 319.61198500000006
all_time: 6638.605421066284, write_cfg_time: 0.022383451461791992, compile_time: 1582.216089963913, run_time: 5048.654936790466, exec_time: 322.85807500000004
all_time: 6697.355206251144, write_cfg_time: 0.022682905197143555, compile_time: 1602.3964004516602, run_time: 5087.179527759552, exec_time: 326.45108500000003
all_time: 6795.740880727768, write_cfg_time: 0.023138761520385742, compile_time: 1621.3359632492065, run_time: 5166.586429357529, exec_time: 334.13495500000005
all_time: 6839.874304056168, write_cfg_time: 0.023368120193481445, compile_time: 1641.6747329235077, run_time: 5190.269252061844, exec_time: 336.32016500000003
all_time: 6940.835540056229, write_cfg_time: 0.02356863021850586, compile_time: 1662.8330755233765, run_time: 5269.948549032211, exec_time: 344.02803500000005
all_time: 7040.282504320145, write_cfg_time: 0.02384018898010254, compile_time: 1682.7747139930725, run_time: 5349.343509435654, exec_time: 351.77177500000005
all_time: 7140.264248609543, write_cfg_time: 0.024081707000732422, compile_time: 1701.583970785141, run_time: 5430.19429898262, exec_time: 356.27328500000004
all_time: 7225.9357006549835, write_cfg_time: 0.02446126937866211, compile_time: 1720.3428354263306, run_time: 5497.069180727005, exec_time: 362.66126500000007
