all_time: 1325.3586032390594, write_cfg_time: 0.013128042221069336, compile_time: 904.7925724983215, run_time: 417.2830560207367, exec_time: 34.63844400000002
all_time: 1348.206211566925, write_cfg_time: 0.013524770736694336, compile_time: 923.9782438278198, run_time: 420.89375138282776, exec_time: 34.78753500000002
all_time: 1376.4484524726868, write_cfg_time: 0.013808965682983398, compile_time: 943.9764673709869, run_time: 429.11951637268066, exec_time: 35.55114300000002
all_time: 1404.3054671287537, write_cfg_time: 0.014000415802001953, compile_time: 964.1310081481934, run_time: 436.75274896621704, exec_time: 35.597369000000015
all_time: 1427.3186011314392, write_cfg_time: 0.014318704605102539, compile_time: 984.6658673286438, run_time: 439.21278047561646, exec_time: 35.69539600000002
all_time: 1452.0177609920502, write_cfg_time: 0.01457524299621582, compile_time: 1004.4429709911346, run_time: 444.0819728374481, exec_time: 35.91102100000002
all_time: 1475.61070394516, write_cfg_time: 0.014850616455078125, compile_time: 1024.4528913497925, run_time: 447.64585876464844, exec_time: 35.92632900000002
all_time: 1496.604187488556, write_cfg_time: 0.015033721923828125, compile_time: 1043.6142818927765, run_time: 449.39806056022644, exec_time: 35.98746100000002
all_time: 1521.6408133506775, write_cfg_time: 0.015361547470092773, compile_time: 1063.0551369190216, run_time: 454.9780330657959, exec_time: 36.478794000000015
all_time: 1545.6752026081085, write_cfg_time: 0.01567363739013672, compile_time: 1082.6743545532227, run_time: 459.34233713150024, exec_time: 36.79220200000002
all_time: 1570.3950643539429, write_cfg_time: 0.015897512435913086, compile_time: 1102.522155046463, run_time: 464.14613914489746, exec_time: 37.061532000000014
all_time: 1593.1735730171204, write_cfg_time: 0.016144275665283203, compile_time: 1122.750884771347, run_time: 466.6483564376831, exec_time: 37.07210600000001
all_time: 1616.9002616405487, write_cfg_time: 0.01635122299194336, compile_time: 1143.0915343761444, run_time: 469.9736022949219, exec_time: 37.23227600000001
all_time: 1639.2024462223053, write_cfg_time: 0.016865253448486328, compile_time: 1162.2033035755157, run_time: 473.1081099510193, exec_time: 37.241022000000015
