TrainEpoch:  0 , Graph:  ['komarix-imdb'] , Schedule:  3 , TrainLoss:  0.9550630450248718
ValidEpoch:  0 , Graph:  ['komarix-imdb'] , Schedule :  0 , ValidLoss:  0.9810248017311096
TrainEpoch:  0 , Graph:  ['facebook-wosn-wall'] , Schedule:  0 , TrainLoss:  1.0009512901306152
TrainEpoch:  0 , Graph:  ['facebook-wosn-wall'] , Schedule:  1 , TrainLoss:  0.9991692900657654
TrainEpoch:  0 , Graph:  ['facebook-wosn-wall'] , Schedule:  2 , TrainLoss:  0.9863418936729431
TrainEpoch:  0 , Graph:  ['facebook-wosn-wall'] , Schedule:  3 , TrainLoss:  0.9975128173828125
ValidEpoch:  0 , Graph:  ['facebook-wosn-wall'] , Schedule :  0 , ValidLoss:  0.998153567314148
TrainEpoch:  0 , Graph:  ['github'] , Schedule:  0 , TrainLoss:  1.0038341283798218
TrainEpoch:  0 , Graph:  ['github'] , Schedule:  1 , TrainLoss:  0.9754160642623901
TrainEpoch:  0 , Graph:  ['github'] , Schedule:  2 , TrainLoss:  0.9763230085372925
TrainEpoch:  0 , Graph:  ['github'] , Schedule:  3 , TrainLoss:  0.9761497378349304
ValidEpoch:  0 , Graph:  ['github'] , Schedule :  0 , ValidLoss:  0.9815489649772644
TrainEpoch:  0 , Graph:  ['sx-mathoverflow'] , Schedule:  0 , TrainLoss:  0.9954599142074585
TrainEpoch:  0 , Graph:  ['sx-mathoverflow'] , Schedule:  1 , TrainLoss:  0.9894937872886658
TrainEpoch:  0 , Graph:  ['sx-mathoverflow'] , Schedule:  2 , TrainLoss:  0.9910036325454712
TrainEpoch:  0 , Graph:  ['sx-mathoverflow'] , Schedule:  3 , TrainLoss:  0.9936685562133789
ValidEpoch:  0 , Graph:  ['sx-mathoverflow'] , Schedule :  0 , ValidLoss:  0.9930557012557983
TrainEpoch:  0 , Graph:  ['dbpedia-team'] , Schedule:  0 , TrainLoss:  0.987304151058197
TrainEpoch:  0 , Graph:  ['dbpedia-team'] , Schedule:  1 , TrainLoss:  0.9917653799057007
TrainEpoch:  0 , Graph:  ['dbpedia-team'] , Schedule:  2 , TrainLoss:  1.0079896450042725
TrainEpoch:  0 , Graph:  ['dbpedia-team'] , Schedule:  3 , TrainLoss:  1.0375980138778687
ValidEpoch:  0 , Graph:  ['dbpedia-team'] , Schedule :  0 , ValidLoss:  0.9692888259887695
--- Epoch 0 : Train 0.9954940266907215 Valid 0.991803489625454 ---
save over.
TrainEpoch:  1 , Graph:  ['sx-stackoverflow'] , Schedule:  0 , TrainLoss:  0.985022246837616
TrainEpoch:  1 , Graph:  ['sx-stackoverflow'] , Schedule:  1 , TrainLoss:  0.9815006852149963
TrainEpoch:  1 , Graph:  ['sx-stackoverflow'] , Schedule:  2 , TrainLoss:  0.9948241114616394
TrainEpoch:  1 , Graph:  ['sx-stackoverflow'] , Schedule:  3 , TrainLoss:  0.9974882006645203
ValidEpoch:  1 , Graph:  ['sx-stackoverflow'] , Schedule :  0 , ValidLoss:  0.9824051856994629
TrainEpoch:  1 , Graph:  ['petster-friendships-dog'] , Schedule:  0 , TrainLoss:  0.9805092811584473
TrainEpoch:  1 , Graph:  ['petster-friendships-dog'] , Schedule:  1 , TrainLoss:  0.9608671069145203
TrainEpoch:  1 , Graph:  ['petster-friendships-dog'] , Schedule:  2 , TrainLoss:  0.9814666509628296
TrainEpoch:  1 , Graph:  ['petster-friendships-dog'] , Schedule:  3 , TrainLoss:  0.9672480821609497
ValidEpoch:  1 , Graph:  ['petster-friendships-dog'] , Schedule :  0 , ValidLoss:  0.9855909943580627
TrainEpoch:  1 , Graph:  ['douban'] , Schedule:  0 , TrainLoss:  0.9883095026016235
TrainEpoch:  1 , Graph:  ['douban'] , Schedule:  1 , TrainLoss:  0.9566177725791931
TrainEpoch:  1 , Graph:  ['douban'] , Schedule:  2 , TrainLoss:  0.9710921049118042
TrainEpoch:  1 , Graph:  ['douban'] , Schedule:  3 , TrainLoss:  1.0106546878814697
ValidEpoch:  1 , Graph:  ['douban'] , Schedule :  0 , ValidLoss:  0.994221031665802
TrainEpoch:  1 , Graph:  ['facebook-wosn-wall'] , Schedule:  0 , TrainLoss:  0.9902468323707581
TrainEpoch:  1 , Graph:  ['facebook-wosn-wall'] , Schedule:  1 , TrainLoss:  0.9873409867286682
TrainEpoch:  1 , Graph:  ['facebook-wosn-wall'] , Schedule:  2 , TrainLoss:  1.000948429107666
TrainEpoch:  1 , Graph:  ['facebook-wosn-wall'] , Schedule:  3 , TrainLoss:  0.9595286846160889
ValidEpoch:  1 , Graph:  ['facebook-wosn-wall'] , Schedule :  0 , ValidLoss:  0.9650164246559143
