ValidEpoch:  0 , Graph:  ['dblp-cite'] , Schedule :  0 , ValidLoss:  0.8722455501556396
TrainEpoch:  0 , Graph:  ['sx-stackoverflow'] , Schedule:  0 , TrainLoss:  0.7253817915916443
TrainEpoch:  0 , Graph:  ['sx-stackoverflow'] , Schedule:  1 , TrainLoss:  0.6293812394142151
TrainEpoch:  0 , Graph:  ['sx-stackoverflow'] , Schedule:  2 , TrainLoss:  0.7022356390953064
TrainEpoch:  0 , Graph:  ['sx-stackoverflow'] , Schedule:  3 , TrainLoss:  0.3271457552909851
ValidEpoch:  0 , Graph:  ['sx-stackoverflow'] , Schedule :  0 , ValidLoss:  0.7285614013671875
TrainEpoch:  0 , Graph:  ['opsahl-usairport'] , Schedule:  0 , TrainLoss:  0.6393426060676575
TrainEpoch:  0 , Graph:  ['opsahl-usairport'] , Schedule:  1 , TrainLoss:  0.6509737372398376
TrainEpoch:  0 , Graph:  ['opsahl-usairport'] , Schedule:  2 , TrainLoss:  0.7107412219047546
TrainEpoch:  0 , Graph:  ['opsahl-usairport'] , Schedule:  3 , TrainLoss:  1.1923867464065552
ValidEpoch:  0 , Graph:  ['opsahl-usairport'] , Schedule :  0 , ValidLoss:  0.5155462026596069
TrainEpoch:  0 , Graph:  ['dbpedia-team'] , Schedule:  0 , TrainLoss:  0.6756824254989624
TrainEpoch:  0 , Graph:  ['dbpedia-team'] , Schedule:  1 , TrainLoss:  0.8100807070732117
TrainEpoch:  0 , Graph:  ['dbpedia-team'] , Schedule:  2 , TrainLoss:  0.6378052830696106
TrainEpoch:  0 , Graph:  ['dbpedia-team'] , Schedule:  3 , TrainLoss:  0.9652713537216187
ValidEpoch:  0 , Graph:  ['dbpedia-team'] , Schedule :  0 , ValidLoss:  0.8219150304794312
TrainEpoch:  0 , Graph:  ['youtube-groupmemberships'] , Schedule:  0 , TrainLoss:  0.5692265629768372
TrainEpoch:  0 , Graph:  ['youtube-groupmemberships'] , Schedule:  1 , TrainLoss:  0.5516113638877869
TrainEpoch:  0 , Graph:  ['youtube-groupmemberships'] , Schedule:  2 , TrainLoss:  0.7409476637840271
TrainEpoch:  0 , Graph:  ['youtube-groupmemberships'] , Schedule:  3 , TrainLoss:  0.43962979316711426
ValidEpoch:  0 , Graph:  ['youtube-groupmemberships'] , Schedule :  0 , ValidLoss:  0.7053022384643555
--- Epoch 0 : Train 0.7488570441491902 Valid 0.745593061670661 ---
save over.
TrainEpoch:  1 , Graph:  ['roadNet-CA'] , Schedule:  0 , TrainLoss:  0.6088810563087463
TrainEpoch:  1 , Graph:  ['roadNet-CA'] , Schedule:  1 , TrainLoss:  0.552340567111969
TrainEpoch:  1 , Graph:  ['roadNet-CA'] , Schedule:  2 , TrainLoss:  0.6535305976867676
TrainEpoch:  1 , Graph:  ['roadNet-CA'] , Schedule:  3 , TrainLoss:  0.5007736682891846
ValidEpoch:  1 , Graph:  ['roadNet-CA'] , Schedule :  0 , ValidLoss:  0.7008664608001709
TrainEpoch:  1 , Graph:  ['patentcite'] , Schedule:  0 , TrainLoss:  0.7454730272293091
TrainEpoch:  1 , Graph:  ['patentcite'] , Schedule:  1 , TrainLoss:  0.7258118391036987
TrainEpoch:  1 , Graph:  ['patentcite'] , Schedule:  2 , TrainLoss:  0.817955732345581
TrainEpoch:  1 , Graph:  ['patentcite'] , Schedule:  3 , TrainLoss:  0.2658739984035492
ValidEpoch:  1 , Graph:  ['patentcite'] , Schedule :  0 , ValidLoss:  0.6975446939468384
TrainEpoch:  1 , Graph:  ['dblp-cite'] , Schedule:  0 , TrainLoss:  0.6173831820487976
TrainEpoch:  1 , Graph:  ['dblp-cite'] , Schedule:  1 , TrainLoss:  0.7355827689170837
TrainEpoch:  1 , Graph:  ['dblp-cite'] , Schedule:  2 , TrainLoss:  0.6893858909606934
TrainEpoch:  1 , Graph:  ['dblp-cite'] , Schedule:  3 , TrainLoss:  0.1909579038619995
ValidEpoch:  1 , Graph:  ['dblp-cite'] , Schedule :  0 , ValidLoss:  0.7449864149093628
TrainEpoch:  1 , Graph:  ['komarix-imdb'] , Schedule:  0 , TrainLoss:  0.8267862200737
TrainEpoch:  1 , Graph:  ['komarix-imdb'] , Schedule:  1 , TrainLoss:  0.7500726580619812
TrainEpoch:  1 , Graph:  ['komarix-imdb'] , Schedule:  2 , TrainLoss:  0.6723867654800415
TrainEpoch:  1 , Graph:  ['komarix-imdb'] , Schedule:  3 , TrainLoss:  0.7008419036865234
ValidEpoch:  1 , Graph:  ['komarix-imdb'] , Schedule :  0 , ValidLoss:  0.7276724576950073
TrainEpoch:  1 , Graph:  ['facebook-wosn-wall'] , Schedule:  0 , TrainLoss:  0.9312986135482788
