write_cfg_time: 0.0002753734588623047, compile_time: 19.233567237854004, run_time: 11.732823610305786, exec_time: 0.038253
write_cfg_time: 0.0004734992980957031, compile_time: 20.771651029586792, run_time: 12.925335168838501, exec_time: 1.90418
write_cfg_time: 0.0003707408905029297, compile_time: 19.07446575164795, run_time: 16.395812511444092, exec_time: 3.66775
write_cfg_time: 0.00019598007202148438, compile_time: 20.59166193008423, run_time: 14.428772211074829, exec_time: 1.89002
write_cfg_time: 0.0002512931823730469, compile_time: 20.492769479751587, run_time: 22.71688222885132, exec_time: 4.98391
write_cfg_time: 0.00026154518127441406, compile_time: 20.641605854034424, run_time: 16.712037801742554, exec_time: 3.77173
write_cfg_time: 0.00022745132446289062, compile_time: 20.402883052825928, run_time: 17.824381113052368, exec_time: 4.05171
write_cfg_time: 0.00025534629821777344, compile_time: 20.688579082489014, run_time: 16.729386568069458, exec_time: 3.80361
write_cfg_time: 0.0003819465637207031, compile_time: 21.02311873435974, run_time: 22.767519235610962, exec_time: 4.88375
write_cfg_time: 0.00025916099548339844, compile_time: 20.165284156799316, run_time: 24.261316299438477, exec_time: 5.58075
write_cfg_time: 0.0001995563507080078, compile_time: 19.62950849533081, run_time: 16.701470613479614, exec_time: 3.76776
write_cfg_time: 0.0003559589385986328, compile_time: 21.097641229629517, run_time: 16.70441961288452, exec_time: 3.78373
write_cfg_time: 0.0002186298370361328, compile_time: 19.046727657318115, run_time: 16.430954456329346, exec_time: 3.71168
write_cfg_time: 0.00036072731018066406, compile_time: 20.755658626556396, run_time: 10.324817895889282, exec_time: 2.1917
write_cfg_time: 0.0001804828643798828, compile_time: 20.268155574798584, run_time: 16.354963541030884, exec_time: 3.69577
write_cfg_time: 0.00023984909057617188, compile_time: 19.31674361228943, run_time: 16.26379156112671, exec_time: 3.63571
write_cfg_time: 0.0004329681396484375, compile_time: 20.42363977432251, run_time: 37.77783489227295, exec_time: 8.864
write_cfg_time: 0.00037932395935058594, compile_time: 19.470053672790527, run_time: 23.719932079315186, exec_time: 4.95169
write_cfg_time: 0.0004582405090332031, compile_time: 20.609278202056885, run_time: 36.60163164138794, exec_time: 8.71968
write_cfg_time: 0.0002644062042236328, compile_time: 19.721174240112305, run_time: 16.85882830619812, exec_time: 3.81571
write_cfg_time: 0.00046181678771972656, compile_time: 20.0601806640625, run_time: 23.732610940933228, exec_time: 5.49572
write_cfg_time: 0.00019121170043945312, compile_time: 20.56282687187195, run_time: 16.680479049682617, exec_time: 3.75971
write_cfg_time: 0.00021910667419433594, compile_time: 19.7367205619812, run_time: 38.53569459915161, exec_time: 9.04371
write_cfg_time: 0.0003192424774169922, compile_time: 19.58180546760559, run_time: 16.729365587234497, exec_time: 3.77173
write_cfg_time: 0.0003857612609863281, compile_time: 19.937572240829468, run_time: 16.809009075164795, exec_time: 3.79668
write_cfg_time: 0.000247955322265625, compile_time: 19.722416162490845, run_time: 16.8860604763031, exec_time: 3.80753
write_cfg_time: 0.00023317337036132812, compile_time: 20.413811683654785, run_time: 22.40662407875061, exec_time: 4.824
write_cfg_time: 0.00037288665771484375, compile_time: 21.164991855621338, run_time: 16.729441165924072, exec_time: 3.75973
write_cfg_time: 0.0002448558807373047, compile_time: 20.26440119743347, run_time: 16.7666175365448, exec_time: 3.80304
write_cfg_time: 0.0003390312194824219, compile_time: 19.025291681289673, run_time: 38.913031339645386, exec_time: 9.08369
write_cfg_time: 0.00018525123596191406, compile_time: 19.4294011592865, run_time: 16.8684720993042, exec_time: 3.81194
write_cfg_time: 0.00036835670471191406, compile_time: 19.463189840316772, run_time: 23.639126539230347, exec_time: 5.1
write_cfg_time: 0.00022411346435546875, compile_time: 19.33763027191162, run_time: 16.887638330459595, exec_time: 3.82395
write_cfg_time: 0.0003132820129394531, compile_time: 19.417943954467773, run_time: 16.72380757331848, exec_time: 3.77968
write_cfg_time: 0.00018858909606933594, compile_time: 19.351354598999023, run_time: 16.667277336120605, exec_time: 3.77503
write_cfg_time: 0.0003986358642578125, compile_time: 19.58957028388977, run_time: 23.868119478225708, exec_time: 5.04369
write_cfg_time: 0.0003113746643066406, compile_time: 21.430612325668335, run_time: 23.615949392318726, exec_time: 5.20371
write_cfg_time: 0.00017833709716796875, compile_time: 19.933268785476685, run_time: 16.57879638671875, exec_time: 3.67888
write_cfg_time: 0.00027751922607421875, compile_time: 20.554270267486572, run_time: 16.635762691497803, exec_time: 3.74794
write_cfg_time: 0.0003497600555419922, compile_time: 19.14203906059265, run_time: 23.493934631347656, exec_time: 5.00865
