all_time: 1813.6314163208008, write_cfg_time: 0.013740301132202148, compile_time: 893.2885632514954, run_time: 915.9026741981506, exec_time: 43.41855200000001
all_time: 1862.3421795368195, write_cfg_time: 0.014011621475219727, compile_time: 913.029435634613, run_time: 944.7944831848145, exec_time: 43.89822200000001
all_time: 1899.2859783172607, write_cfg_time: 0.014231204986572266, compile_time: 932.5860261917114, run_time: 961.9773325920105, exec_time: 44.50976700000001
all_time: 1969.377074956894, write_cfg_time: 0.014606475830078125, compile_time: 951.5467145442963, run_time: 1013.0614631175995, exec_time: 45.434289000000014
all_time: 2013.6799783706665, write_cfg_time: 0.014881134033203125, compile_time: 971.2607851028442, run_time: 1037.5502047538757, exec_time: 46.08334600000001
all_time: 2067.8396894931793, write_cfg_time: 0.015172243118286133, compile_time: 992.3824646472931, run_time: 1070.5371339321136, exec_time: 46.865060000000014
all_time: 2146.4630963802338, write_cfg_time: 0.015548229217529297, compile_time: 1014.064510345459, run_time: 1127.429695367813, exec_time: 50.47315000000001
all_time: 2185.424301147461, write_cfg_time: 0.01593613624572754, compile_time: 1034.2001314163208, run_time: 1146.208045721054, exec_time: 51.16935600000001
all_time: 2215.703812122345, write_cfg_time: 0.016161203384399414, compile_time: 1053.2951617240906, run_time: 1157.2421956062317, exec_time: 51.387457000000005
all_time: 2286.6441130638123, write_cfg_time: 0.016522645950317383, compile_time: 1073.5240535736084, run_time: 1207.9009909629822, exec_time: 52.457177
all_time: 2326.9311034679413, write_cfg_time: 0.016892194747924805, compile_time: 1093.1620035171509, run_time: 1228.493047952652, exec_time: 52.680303
all_time: 2386.1547017097473, write_cfg_time: 0.017290830612182617, compile_time: 1112.4768469333649, run_time: 1268.3581855297089, exec_time: 53.563283000000006
all_time: 2423.0419211387634, write_cfg_time: 0.017522096633911133, compile_time: 1132.9156618118286, run_time: 1284.7008774280548, exec_time: 53.898611
all_time: 2470.7552263736725, write_cfg_time: 0.01775383949279785, compile_time: 1154.2667446136475, run_time: 1311.0061173439026, exec_time: 54.828194
all_time: 2509.353533267975, write_cfg_time: 0.017941951751708984, compile_time: 1174.0157992839813, run_time: 1329.78040599823, exec_time: 55.404061000000006
all_time: 2581.481484889984, write_cfg_time: 0.01824331283569336, compile_time: 1194.9996211528778, run_time: 1380.8644015789032, exec_time: 58.780781000000005
all_time: 2624.2719230651855, write_cfg_time: 0.018483877182006836, compile_time: 1215.343144416809, run_time: 1403.189642906189, exec_time: 59.422085
all_time: 2663.5958564281464, write_cfg_time: 0.018747806549072266, compile_time: 1234.121153831482, run_time: 1423.634386062622, exec_time: 59.898225000000004
all_time: 2693.45108795166, write_cfg_time: 0.018973588943481445, compile_time: 1254.0416247844696, run_time: 1433.4389340877533, exec_time: 60.299195000000005
all_time: 2728.045306444168, write_cfg_time: 0.019208669662475586, compile_time: 1273.620156288147, run_time: 1448.365329027176, exec_time: 60.70660900000001
all_time: 2769.151700735092, write_cfg_time: 0.019588947296142578, compile_time: 1292.8768680095673, run_time: 1470.1615633964539, exec_time: 61.50249000000001
all_time: 2821.7874162197113, write_cfg_time: 0.019942283630371094, compile_time: 1313.9584758281708, run_time: 1501.6556644439697, exec_time: 62.51514000000001
all_time: 2866.928923368454, write_cfg_time: 0.020251989364624023, compile_time: 1334.5829997062683, run_time: 1526.124671459198, exec_time: 63.15411800000001
all_time: 2903.9871888160706, write_cfg_time: 0.020495176315307617, compile_time: 1354.2385098934174, run_time: 1543.442412853241, exec_time: 63.930169000000014
all_time: 2958.985353946686, write_cfg_time: 0.020967721939086914, compile_time: 1374.1064620018005, run_time: 1578.5210812091827, exec_time: 64.95633900000001
