youtube-u-growth,DISABLED,CM,None,0,PUSH,DISABLED,UNFUSED_BITMAP,None,0.32099461555480957,0.003567
dblp_coauthor,DISABLED,CM,None,0,PUSH,DISABLED,UNFUSED_BITMAP,None,0.5122463703155518,0.001966
soc-LiveJournal1,DISABLED,CM,None,0,PUSH,DISABLED,UNFUSED_BITMAP,None,0.8624882698059082,0.006957
orkut-links,DISABLED,CM,None,0,PUSH,DISABLED,UNFUSED_BITMAP,None,1.3519339561462402,0.009454
roadNet-CA,DISABLED,CM,None,0,PUSH,DISABLED,UNFUSED_BITMAP,None,0.3555436134338379,0.015273
youtube-u-growth,ENABLED,TWC,None,0,PULL,ENABLED,UNFUSED_BITMAP,BOOLMAP,0.8873434066772461,0.001397
dblp_coauthor,ENABLED,TWC,None,0,PULL,ENABLED,UNFUSED_BITMAP,BOOLMAP,1.8089447021484375,0.009779
soc-LiveJournal1,ENABLED,TWC,None,0,PULL,ENABLED,UNFUSED_BITMAP,BOOLMAP,8.508967161178589,0.037321
orkut-links,ENABLED,TWC,None,0,PULL,ENABLED,UNFUSED_BITMAP,BOOLMAP,16.551700115203857,0.008534
roadNet-CA,ENABLED,TWC,None,0,PULL,ENABLED,UNFUSED_BITMAP,BOOLMAP,0.31244516372680664,0.00041
youtube-u-growth,DISABLED,VERTEX_BASED,None,0,PUSH,DISABLED,UNFUSED_BOOLMAP,None,0.9094381332397461,0.06095
dblp_coauthor,DISABLED,VERTEX_BASED,None,0,PUSH,DISABLED,UNFUSED_BOOLMAP,None,0.37595462799072266,0.004768
soc-LiveJournal1,DISABLED,VERTEX_BASED,None,0,PUSH,DISABLED,UNFUSED_BOOLMAP,None,1.0859217643737793,0.022363
orkut-links,DISABLED,VERTEX_BASED,None,0,PUSH,DISABLED,UNFUSED_BOOLMAP,None,1.7519502639770508,0.044388
roadNet-CA,DISABLED,VERTEX_BASED,None,0,PUSH,DISABLED,UNFUSED_BOOLMAP,None,0.3888392448425293,0.014822
youtube-u-growth,ENABLED,TWCE,None,0,PULL,ENABLED,FUSED,BITMAP,0.9371798038482666,0.002241
dblp_coauthor,ENABLED,TWCE,None,0,PULL,ENABLED,FUSED,BITMAP,1.8338892459869385,0.012259
soc-LiveJournal1,ENABLED,TWCE,None,0,PULL,ENABLED,FUSED,BITMAP,8.520893096923828,0.034312
