roadNet-CA DensePull-SparsePush, serial, bitvector, false, 0, 0.32808685302734375, 0.000296
youtube-u-growth DensePull-SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 1.159923791885376, 0.024989
dblp_coauthor DensePull-SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 3.893524408340454, 0.067313
soc-LiveJournal1 DensePull-SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 9.137454509735107, 0.427597
orkut-links DensePull-SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 14.203056573867798, 0.126383
roadNet-CA DensePull-SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 0.32564783096313477, 0.000365
youtube-u-growth DensePull-SparsePush, dynamic-vertex-parallel, bitvector, false, 0, 1.157773733139038, 0.023316
dblp_coauthor DensePull-SparsePush, dynamic-vertex-parallel, bitvector, false, 0, 3.858922243118286, 0.051902
soc-LiveJournal1 DensePull-SparsePush, dynamic-vertex-parallel, bitvector, false, 0, 9.063787460327148, 0.297753
orkut-links DensePull-SparsePush, dynamic-vertex-parallel, bitvector, false, 0, 14.24643611907959, 0.115296
roadNet-CA DensePull-SparsePush, dynamic-vertex-parallel, bitvector, false, 0, 0.3276522159576416, 0.0005
youtube-u-growth DensePull-SparsePush, static-vertex-parallel, boolean-array, false, 0, 1.1625745296478271, 0.026413
dblp_coauthor DensePull-SparsePush, static-vertex-parallel, boolean-array, false, 0, 3.8853185176849365, 0.066421
soc-LiveJournal1 DensePull-SparsePush, static-vertex-parallel, boolean-array, false, 0, 9.17299485206604, 0.473973
orkut-links DensePull-SparsePush, static-vertex-parallel, boolean-array, false, 0, 14.210096836090088, 0.138201
roadNet-CA DensePull-SparsePush, static-vertex-parallel, boolean-array, false, 0, 0.33020544052124023, 0.000397
youtube-u-growth DensePull-SparsePush, static-vertex-parallel, bitvector, false, 0, 1.146130084991455, 0.022303
dblp_coauthor DensePull-SparsePush, static-vertex-parallel, bitvector, false, 0, 3.875349998474121, 0.051575
soc-LiveJournal1 DensePull-SparsePush, static-vertex-parallel, bitvector, false, 0, 9.04505729675293, 0.304914
orkut-links DensePull-SparsePush, static-vertex-parallel, bitvector, false, 0, 14.209601163864136, 0.101236
roadNet-CA DensePull-SparsePush, static-vertex-parallel, bitvector, false, 0, 0.32607269287109375, 0.000354
youtube-u-growth DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 1.3317749500274658, 0.204391
dblp_coauthor DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 4.088805675506592, 0.266736
soc-LiveJournal1 DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 10.284867763519287, 1.53077
orkut-links DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 15.058539628982544, 1.07968
roadNet-CA DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 0.3257710933685303, 0.000384
youtube-u-growth DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 1.2967936992645264, 0.162005
dblp_coauthor DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 4.041091442108154, 0.222836
soc-LiveJournal1 DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 9.75704050064087, 1.04811
orkut-links DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 14.982949256896973, 0.874638
roadNet-CA DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 0.3261399269104004, 0.00038
youtube-u-growth SparsePush-DensePull, serial, boolean-array, false, 0, 1.3323705196380615, 0.191103
dblp_coauthor SparsePush-DensePull, serial, boolean-array, false, 0, 4.080495119094849, 0.261911
soc-LiveJournal1 SparsePush-DensePull, serial, boolean-array, false, 0, 9.97497010231018, 1.24724
orkut-links SparsePush-DensePull, serial, boolean-array, false, 0, 15.096748352050781, 1.02584
roadNet-CA SparsePush-DensePull, serial, boolean-array, false, 0, 0.3274686336517334, 0.000333
youtube-u-growth SparsePush-DensePull, serial, bitvector, false, 0, 1.3005955219268799, 0.161194
dblp_coauthor SparsePush-DensePull, serial, bitvector, false, 0, 4.021029949188232, 0.214072
soc-LiveJournal1 SparsePush-DensePull, serial, bitvector, false, 0, 9.734825849533081, 0.975474
orkut-links SparsePush-DensePull, serial, bitvector, false, 0, 14.951195478439331, 0.886916
roadNet-CA SparsePush-DensePull, serial, bitvector, false, 0, 0.3258981704711914, 0.000306
youtube-u-growth SparsePush-DensePull, dynamic-vertex-parallel, boolean-array, false, 0, 1.1567134857177734, 0.024967
dblp_coauthor SparsePush-DensePull, dynamic-vertex-parallel, boolean-array, false, 0, 3.867553234100342, 0.067227
soc-LiveJournal1 SparsePush-DensePull, dynamic-vertex-parallel, boolean-array, false, 0, 9.190098524093628, 0.451871
orkut-links SparsePush-DensePull, dynamic-vertex-parallel, boolean-array, false, 0, 14.193446397781372, 0.143537
roadNet-CA SparsePush-DensePull, dynamic-vertex-parallel, boolean-array, false, 0, 0.32524704933166504, 0.00035
youtube-u-growth SparsePush-DensePull, dynamic-vertex-parallel, bitvector, false, 0, 1.1599311828613281, 0.022359
dblp_coauthor SparsePush-DensePull, dynamic-vertex-parallel, bitvector, false, 0, 3.8859403133392334, 0.052446
soc-LiveJournal1 SparsePush-DensePull, dynamic-vertex-parallel, bitvector, false, 0, 9.02482557296753, 0.282181
orkut-links SparsePush-DensePull, dynamic-vertex-parallel, bitvector, false, 0, 14.172565937042236, 0.114201
roadNet-CA SparsePush-DensePull, dynamic-vertex-parallel, bitvector, false, 0, 0.3248887062072754, 0.000398
youtube-u-growth SparsePush-DensePull, static-vertex-parallel, boolean-array, false, 0, 1.1492891311645508, 0.025276
dblp_coauthor SparsePush-DensePull, static-vertex-parallel, boolean-array, false, 0, 3.9082515239715576, 0.065295
soc-LiveJournal1 SparsePush-DensePull, static-vertex-parallel, boolean-array, false, 0, 9.200829267501831, 0.486691
orkut-links SparsePush-DensePull, static-vertex-parallel, boolean-array, false, 0, 14.14126205444336, 0.121874
roadNet-CA SparsePush-DensePull, static-vertex-parallel, boolean-array, false, 0, 0.3288102149963379, 0.000463
youtube-u-growth SparsePush-DensePull, static-vertex-parallel, bitvector, false, 0, 1.1525120735168457, 0.023068
dblp_coauthor SparsePush-DensePull, static-vertex-parallel, bitvector, false, 0, 3.879349708557129, 0.05435
soc-LiveJournal1 SparsePush-DensePull, static-vertex-parallel, bitvector, false, 0, 9.036422967910767, 0.267496
orkut-links SparsePush-DensePull, static-vertex-parallel, bitvector, false, 0, 14.13449239730835, 0.108117
roadNet-CA SparsePush-DensePull, static-vertex-parallel, bitvector, false, 0, 0.3278229236602783, 0.000365
youtube-u-growth SparsePush-DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 1.3381524085998535, 0.205594
dblp_coauthor SparsePush-DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 4.090107202529907, 0.278699
soc-LiveJournal1 SparsePush-DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 10.138431549072266, 1.36275
orkut-links SparsePush-DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 15.188581705093384, 1.14182
roadNet-CA SparsePush-DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 0.32561755180358887, 0.000341
youtube-u-growth SparsePush-DensePull, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 1.2891387939453125, 0.157996
dblp_coauthor SparsePush-DensePull, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 4.034581899642944, 0.214089
soc-LiveJournal1 SparsePush-DensePull, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 9.782776117324829, 1.05922
orkut-links SparsePush-DensePull, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 14.973604679107666, 0.907599
roadNet-CA SparsePush-DensePull, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 0.3266932964324951, 0.000654
youtube-u-growth DensePush-SparsePush, serial, boolean-array, false, 0, 1.2336180210113525, 0.100787
dblp_coauthor DensePush-SparsePush, serial, boolean-array, false, 0, 3.9293224811553955, 0.111122
soc-LiveJournal1 DensePush-SparsePush, serial, boolean-array, false, 0, 9.177513360977173, 0.401147
orkut-links DensePush-SparsePush, serial, boolean-array, false, 0, 14.618671655654907, 0.544162
