soc-LiveJournal1 SparsePush-DensePull, serial, bitvector, false, 0, 9.167188882827759, 0.794539
orkut-links SparsePush-DensePull, serial, bitvector, false, 0, 14.639355897903442, 1.01161
roadNet-CA SparsePush-DensePull, serial, bitvector, false, 0, 0.3327298164367676, 0.018964
youtube-u-growth SparsePush-DensePull, dynamic-vertex-parallel, boolean-array, false, 0, 1.1082885265350342, 0.02445
dblp_coauthor SparsePush-DensePull, dynamic-vertex-parallel, boolean-array, false, 0, 3.7073957920074463, 0.069469
soc-LiveJournal1 SparsePush-DensePull, dynamic-vertex-parallel, boolean-array, false, 0, 8.841193199157715, 0.450679
orkut-links SparsePush-DensePull, dynamic-vertex-parallel, boolean-array, false, 0, 13.667773485183716, 0.140226
roadNet-CA SparsePush-DensePull, dynamic-vertex-parallel, boolean-array, false, 0, 0.32077908515930176, 0.005126
youtube-u-growth SparsePush-DensePull, dynamic-vertex-parallel, bitvector, false, 0, 1.099759817123413, 0.021037
dblp_coauthor SparsePush-DensePull, dynamic-vertex-parallel, bitvector, false, 0, 3.7171883583068848, 0.066028
soc-LiveJournal1 SparsePush-DensePull, dynamic-vertex-parallel, bitvector, false, 0, 8.701050043106079, 0.315132
orkut-links SparsePush-DensePull, dynamic-vertex-parallel, bitvector, false, 0, 13.623279809951782, 0.110733
roadNet-CA SparsePush-DensePull, dynamic-vertex-parallel, bitvector, false, 0, 0.3189530372619629, 0.004806
youtube-u-growth SparsePush-DensePull, static-vertex-parallel, boolean-array, false, 0, 1.1094443798065186, 0.023761
dblp_coauthor SparsePush-DensePull, static-vertex-parallel, boolean-array, false, 0, 3.705904245376587, 0.079604
soc-LiveJournal1 SparsePush-DensePull, static-vertex-parallel, boolean-array, false, 0, 8.763703346252441, 0.403746
orkut-links SparsePush-DensePull, static-vertex-parallel, boolean-array, false, 0, 13.631362438201904, 0.158694
roadNet-CA SparsePush-DensePull, static-vertex-parallel, boolean-array, false, 0, 0.32204127311706543, 0.004225
youtube-u-growth SparsePush-DensePull, static-vertex-parallel, bitvector, false, 0, 1.1111171245574951, 0.021261
dblp_coauthor SparsePush-DensePull, static-vertex-parallel, bitvector, false, 0, 3.6905736923217773, 0.064418
