roadNet-CA ENABLED, TWC, None, 0, PULL, DISABLED, FUSED, BITMAP, 0.33618927001953125, 7.4e-05
youtube-u-growth DISABLED, WM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.8597550392150879, 0.05952
dblp_coauthor DISABLED, WM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.5621004104614258, 0.023841
soc-LiveJournal1 DISABLED, WM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 2.4615368843078613, 0.163841
orkut-links DISABLED, WM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 3.51578688621521, 0.219065
roadNet-CA DISABLED, WM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.2504403591156006, 0.003676
youtube-u-growth DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, FUSED, BOOLMAP, 4.278490781784058, 0.338603
dblp_coauthor DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, FUSED, BOOLMAP, 2.0167787075042725, 0.030952
soc-LiveJournal1 DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, FUSED, BOOLMAP, 10.078468084335327, 0.197348
orkut-links DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, FUSED, BOOLMAP, 17.470122575759888, 0.185682
roadNet-CA DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, FUSED, BOOLMAP, 0.31262969970703125, 0.003559
youtube-u-growth DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BOOLMAP, 1.0113890171051025, 0.014162
dblp_coauthor DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BOOLMAP, 1.898984670639038, 0.015505
soc-LiveJournal1 DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BOOLMAP, 8.945173978805542, 0.073723
orkut-links DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BOOLMAP, 16.511926412582397, 0.111594
roadNet-CA DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BOOLMAP, 0.3224654197692871, 0.003969
youtube-u-growth DISABLED, VERTEX_BASED, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 4.277305603027344, 0.338205
dblp_coauthor DISABLED, VERTEX_BASED, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 2.05387282371521, 0.030942
soc-LiveJournal1 DISABLED, VERTEX_BASED, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 10.107387781143188, 0.197625
orkut-links DISABLED, VERTEX_BASED, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 19.709761381149292, 0.185117
roadNet-CA DISABLED, VERTEX_BASED, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.3137645721435547, 0.003571
youtube-u-growth ENABLED, TWC, None, 0, PULL, ENABLED, FUSED, BOOLMAP, 1.0189235210418701, 0.000212
dblp_coauthor ENABLED, TWC, None, 0, PULL, ENABLED, FUSED, BOOLMAP, 1.821136474609375, 0.000213
soc-LiveJournal1 ENABLED, TWC, None, 0, PULL, ENABLED, FUSED, BOOLMAP, 8.265704870223999, 7.7e-05
orkut-links ENABLED, TWC, None, 0, PULL, ENABLED, FUSED, BOOLMAP, 16.10785174369812, 7.2e-05
roadNet-CA ENABLED, TWC, None, 0, PULL, ENABLED, FUSED, BOOLMAP, 0.3432192802429199, 7.3e-05
youtube-u-growth DISABLED, TWC, None, 0, PULL, DISABLED, FUSED, BITMAP, 0.9820601940155029, 0.000218
dblp_coauthor DISABLED, TWC, None, 0, PULL, DISABLED, FUSED, BITMAP, 1.779890775680542, 7.4e-05
soc-LiveJournal1 DISABLED, TWC, None, 0, PULL, DISABLED, FUSED, BITMAP, 8.15385890007019, 7.6e-05
