roadNet-CA DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, FUSED, BOOLMAP, 0.35188817977905273, 0.005882
youtube-u-growth DISABLED, VERTEX_BASED, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 1.1519696712493896, 0.023665
dblp_coauthor DISABLED, VERTEX_BASED, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 1.7673907279968262, 0.005187
soc-LiveJournal1 DISABLED, VERTEX_BASED, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 8.21925687789917, 0.020534
orkut-links DISABLED, VERTEX_BASED, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 15.684420347213745, 0.017563
roadNet-CA DISABLED, VERTEX_BASED, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.34731245040893555, 0.006055
youtube-u-growth ENABLED, TWC, None, 0, PULL, ENABLED, FUSED, BOOLMAP, 0.9062228202819824, 0.000751
dblp_coauthor ENABLED, TWC, None, 0, PULL, ENABLED, FUSED, BOOLMAP, 1.7989351749420166, 0.010635
soc-LiveJournal1 ENABLED, TWC, None, 0, PULL, ENABLED, FUSED, BOOLMAP, 8.376326560974121, 0.035879
orkut-links ENABLED, TWC, None, 0, PULL, ENABLED, FUSED, BOOLMAP, 15.399949550628662, 0.003773
roadNet-CA ENABLED, TWC, None, 0, PULL, ENABLED, FUSED, BOOLMAP, 0.31411314010620117, 0.000273
youtube-u-growth DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, UNFUSED_BOOLMAP, BOOLMAP, 1.1606626510620117, 0.025732
dblp_coauthor DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, UNFUSED_BOOLMAP, BOOLMAP, 1.7811014652252197, 0.005195
soc-LiveJournal1 DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, UNFUSED_BOOLMAP, BOOLMAP, 8.374941349029541, 0.025382
orkut-links DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, UNFUSED_BOOLMAP, BOOLMAP, 15.41599416732788, 0.020804
roadNet-CA DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, UNFUSED_BOOLMAP, BOOLMAP, 0.35561299324035645, 0.00553
youtube-u-growth ENABLED, TWCE, None, 0, PUSH, ENABLED, FUSED, None, 0.3528449535369873, 0.005852
dblp_coauthor ENABLED, TWCE, None, 0, PUSH, ENABLED, FUSED, None, 0.3787083625793457, 0.004011
soc-LiveJournal1 ENABLED, TWCE, None, 0, PUSH, ENABLED, FUSED, None, 0.9403460025787354, 0.011364
orkut-links ENABLED, TWCE, None, 0, PUSH, ENABLED, FUSED, None, 1.439194917678833, 0.013205
roadNet-CA ENABLED, TWCE, None, 0, PUSH, ENABLED, FUSED, None, 0.22470450401306152, 0.000942
youtube-u-growth DISABLED, WM, None, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 0.3817920684814453, 0.009062
dblp_coauthor DISABLED, WM, None, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 0.37349414825439453, 0.003514
soc-LiveJournal1 DISABLED, WM, None, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 0.9084510803222656, 0.008386
orkut-links DISABLED, WM, None, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 1.4097461700439453, 0.010163
roadNet-CA DISABLED, WM, None, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 0.22857284545898438, 0.001887
youtube-u-growth DISABLED, VERTEX_BASED, None, 0, PUSH, DISABLED, FUSED, None, 0.8458664417266846, 0.054361
dblp_coauthor DISABLED, VERTEX_BASED, None, 0, PUSH, DISABLED, FUSED, None, 0.4348890781402588, 0.009205
soc-LiveJournal1 DISABLED, VERTEX_BASED, None, 0, PUSH, DISABLED, FUSED, None, 1.1290473937988281, 0.030581
orkut-links DISABLED, VERTEX_BASED, None, 0, PUSH, DISABLED, FUSED, None, 1.7695589065551758, 0.052848
roadNet-CA DISABLED, VERTEX_BASED, None, 0, PUSH, DISABLED, FUSED, None, 0.2654848098754883, 0.001314
youtube-u-growth ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BITMAP, 0.9287030696868896, 0.003802
dblp_coauthor ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BITMAP, 1.855898141860962, 0.012537
soc-LiveJournal1 ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BITMAP, 8.41934084892273, 0.03998
orkut-links ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BITMAP, 15.84824538230896, 0.00533
roadNet-CA ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BITMAP, 0.2917518615722656, 0.00021
youtube-u-growth ENABLED, WM, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.390331506729126, 0.009428
dblp_coauthor ENABLED, WM, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.3757321834564209, 0.003663
soc-LiveJournal1 ENABLED, WM, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.9308555126190186, 0.010687
orkut-links ENABLED, WM, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 1.469515323638916, 0.014061
roadNet-CA ENABLED, WM, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.2230393886566162, 0.001304
youtube-u-growth DISABLED, VERTEX_BASED, None, 0, PULL, DISABLED, FUSED, BITMAP, 1.1373560428619385, 0.02324
dblp_coauthor DISABLED, VERTEX_BASED, None, 0, PULL, DISABLED, FUSED, BITMAP, 1.7705423831939697, 0.00486
soc-LiveJournal1 DISABLED, VERTEX_BASED, None, 0, PULL, DISABLED, FUSED, BITMAP, 8.326661586761475, 0.019842
orkut-links DISABLED, VERTEX_BASED, None, 0, PULL, DISABLED, FUSED, BITMAP, 17.008333921432495, 0.017249
roadNet-CA DISABLED, VERTEX_BASED, None, 0, PULL, DISABLED, FUSED, BITMAP, 0.3523271083831787, 0.005564
youtube-u-growth DISABLED, CM, None, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 0.3315737247467041, 0.003648
dblp_coauthor DISABLED, CM, None, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 0.36490535736083984, 0.002797
soc-LiveJournal1 DISABLED, CM, None, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 0.881671667098999, 0.00588
orkut-links DISABLED, CM, None, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 1.3664731979370117, 0.005692
roadNet-CA DISABLED, CM, None, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 0.23439240455627441, 0.001994
youtube-u-growth DISABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.8160886764526367, 0.050213
dblp_coauthor DISABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.4319343566894531, 0.008419
soc-LiveJournal1 DISABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 1.1360185146331787, 0.025472
orkut-links DISABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 1.696876049041748, 0.047389
roadNet-CA DISABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.25972938537597656, 0.001912
youtube-u-growth ENABLED, CM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BOOLMAP, 0.9214515686035156, 0.001408
dblp_coauthor ENABLED, CM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BOOLMAP, 1.8258373737335205, 0.010523
soc-LiveJournal1 ENABLED, CM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BOOLMAP, 8.976749897003174, 0.02798
orkut-links ENABLED, CM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BOOLMAP, 16.17970633506775, 0.004294
roadNet-CA ENABLED, CM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BOOLMAP, 0.3040134906768799, 0.000255
youtube-u-growth ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BOOLMAP, 1.0278441905975342, 0.003823
dblp_coauthor ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BOOLMAP, 2.093784809112549, 0.012925
soc-LiveJournal1 ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BOOLMAP, 8.350597858428955, 0.043481
orkut-links ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BOOLMAP, 15.171355485916138, 0.005941
roadNet-CA ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BOOLMAP, 0.2870481014251709, 0.000215
youtube-u-growth ENABLED, WM, None, 0, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.385974645614624, 0.009463
dblp_coauthor ENABLED, WM, None, 0, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.35458946228027344, 0.003706
soc-LiveJournal1 ENABLED, WM, None, 0, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.9548780918121338, 0.010535
orkut-links ENABLED, WM, None, 0, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 1.445326805114746, 0.013654
roadNet-CA ENABLED, WM, None, 0, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.22825288772583008, 0.001308
youtube-u-growth DISABLED, CM, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.328782320022583, 0.003781
dblp_coauthor DISABLED, CM, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.36695218086242676, 0.002997
soc-LiveJournal1 DISABLED, CM, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.8848874568939209, 0.006471
orkut-links DISABLED, CM, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 1.3542811870574951, 0.005934
roadNet-CA DISABLED, CM, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.2402796745300293, 0.001977
youtube-u-growth ENABLED, TWC, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.3226773738861084, 0.003352
dblp_coauthor ENABLED, TWC, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.3647603988647461, 0.002602
soc-LiveJournal1 ENABLED, TWC, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.9250173568725586, 0.007873
orkut-links ENABLED, TWC, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 1.2989215850830078, 0.008242
