SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 1, 3.045048952102661
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 2, 3.02785587310791
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 3, 3.0114128589630127
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 4, 3.026137590408325
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 5, 3.014434814453125
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 6, 3.0240988731384277
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 7, 3.0255208015441895
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 8, 3.022244930267334
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 9, 3.043314218521118
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 10, 3.0340964794158936
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 11, 3.0242085456848145
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 12, 3.036548376083374
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 13, 3.0241661071777344
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 14, 3.0294601917266846
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 15, 3.017780065536499
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 16, 3.041093587875366
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 17, 3.026547431945801
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 18, 3.029439687728882
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 19, 3.0425431728363037
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 20, 3.019073247909546
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 21, 3.022681951522827
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 22, 3.0314066410064697
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 23, 3.033677577972412
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 24, 3.024345874786377
SparsePush, serial, bitvector, eager_priority_update_with_merge, static-parallel, 0, 3.021138906478882
