DensePull, serial, boolean-array, eager_priority_update_with_merge, false, 2, 0.37589454650878906
DensePull, serial, boolean-array, eager_priority_update_with_merge, false, 3, 0.16787266731262207
DensePull, serial, boolean-array, eager_priority_update_with_merge, false, 4, 0.28583383560180664
DensePull, serial, boolean-array, eager_priority_update_with_merge, false, 5, 0.2456800937652588
DensePull, serial, boolean-array, eager_priority_update_with_merge, false, 6, 0.13310861587524414
DensePull, serial, boolean-array, eager_priority_update_with_merge, false, 7, 0.46616435050964355
DensePull, serial, boolean-array, eager_priority_update_with_merge, false, 8, 0.29126882553100586
DensePull, serial, boolean-array, eager_priority_update_with_merge, false, 9, 0.043189048767089844
DensePull, serial, boolean-array, eager_priority_update_with_merge, false, 10, 0.750429630279541
DensePull, serial, boolean-array, eager_priority_update_with_merge, false, 11, 0.6790738105773926
DensePull, serial, boolean-array, eager_priority_update_with_merge, false, 12, 0.7261865139007568
DensePull, serial, boolean-array, eager_priority_update_with_merge, false, 13, 0.738919734954834
DensePull, serial, boolean-array, eager_priority_update_with_merge, false, 14, 0.02636885643005371
DensePull, serial, boolean-array, eager_priority_update_with_merge, false, 15, 0.7158751487731934
DensePull, serial, boolean-array, eager_priority_update_with_merge, false, 16, 0.6908376216888428
DensePull, serial, boolean-array, eager_priority_update_with_merge, false, 17, 0.6516778469085693
DensePull, serial, boolean-array, eager_priority_update_with_merge, false, 18, 0.7013981342315674
DensePull, serial, boolean-array, eager_priority_update_with_merge, false, 19, 0.7580099105834961
DensePull, serial, boolean-array, eager_priority_update_with_merge, false, 20, 0.6973202228546143
DensePull, serial, boolean-array, eager_priority_update_with_merge, false, 21, 0.6565344333648682
DensePull, serial, boolean-array, eager_priority_update_with_merge, false, 22, 0.030077219009399414
DensePull, serial, boolean-array, eager_priority_update_with_merge, false, 23, 0.6902022361755371
DensePull, serial, boolean-array, eager_priority_update_with_merge, false, 24, 0.041800498962402344
DensePull, serial, boolean-array, eager_priority_update_with_merge, static-parallel, 1, 0.6972823143005371
DensePull, serial, boolean-array, eager_priority_update_with_merge, static-parallel, 1, 0.7127397060394287
DensePull, serial, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 1, 0.6976275444030762
DensePull, serial, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 2, 0.7685377597808838
DensePull, serial, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 3, 0.6914918422698975
DensePull, serial, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 4, 0.7548432350158691
DensePull, serial, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 5, 0.2888057231903076
DensePull, serial, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 6, 0.6989040374755859
DensePull, serial, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 7, 0.717125654220581
DensePull, serial, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 8, 0.7075557708740234
DensePull, serial, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 9, 0.7049543857574463
DensePull, serial, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 10, 0.7224957942962646
DensePull, serial, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 11, 0.7045207023620605
DensePull, serial, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 12, 0.7098188400268555
DensePull, serial, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 13, 0.7050464153289795
DensePull, serial, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 14, 0.7154674530029297
DensePull, serial, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 15, 0.7276387214660645
DensePull, serial, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 16, 0.7154078483581543
DensePull, serial, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 17, 0.41150951385498047
DensePull, serial, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 18, 0.6896238327026367
DensePull, serial, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 19, 0.6672070026397705
DensePull, serial, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 20, 0.5257494449615479
DensePull, serial, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 21, 0.7537529468536377
DensePull, serial, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 22, 0.6974890232086182
DensePull, serial, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 23, 0.7145617008209229
DensePull, serial, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 24, 0.6838874816894531
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update, false, 1, 0.02841496467590332
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update, static-parallel, 1, 0.7304623126983643
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update, static-parallel, 1, 0.5380709171295166
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update, dynamic-parallel, 1, 0.6517069339752197
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, false, 1, 1.0149202346801758
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, false, 2, 0.9287540912628174
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, false, 3, 0.901336669921875
